Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;5529,57080078125;1500,5331686542;10;392,9648;True;4450;164,1386;868,5656;364,9771;1,079571E+07
2;4940,29345703125;2404,05034222603;10;355,474;True;4450;201,5874;864,573;244,3582;4902934
3;5029,533203125;2976,98783139288;10;341,2516;True;4450;176,9518;859,2361;198,8573;5795331
4;6032,1796875;3862,02115308046;10;392,9648;True;4450;160,5446;867,5275;183,1627;1,58218E+07
5;5549,3505859375;3891,21491938084;10;358,4356;True;4450;178,1692;875,4955;94,55122;1,099351E+07
6;5717,7265625;3975,91231689453;10;358,4356;True;4450;167,194;876,7957;160,777;1,267727E+07
7;6062,11328125;3761,40197753906;10;352,9187;True;4450;198,498;873,8969;236,1326;1,612113E+07
8;5634,73828125;4185,73157348633;10;386,0479;True;4450;168,2349;873,9903;191,2905;1,184739E+07
9;5505,583984375;4321,16774902344;10;389,8198;True;4450;176,7417;868,5284;157,6033;1,055584E+07
10;5676,9599609375;3712,41824415624;10;381,2318;True;4450;156,5122;865,3864;200,3085;1,22696E+07
11;5792,2490234375;4286,930321455;10;353,5745;True;4450;168,9553;872,0764;205,5236;1,342249E+07
12;5937,43017578125;3819,56099895239;10;381,2318;True;4450;156,5303;862,8962;207,8957;1,48743E+07
13;5914,076171875;3625,91990356445;10;385,4842;True;4450;161,2686;865,3158;182,4987;1,464076E+07
14;5417,064453125;3687,9792678833;10;385,4842;True;4450;172,0212;877,9131;34,7462;9670645
15;5594,60302734375;3337,03610987961;10;388,732;True;4450;174,7388;871,2711;204,2501;1,144603E+07
16;5638,0166015625;3746,58671264648;10;385,4842;True;4450;162,207;876,2595;143,3599;1,188017E+07
17;5780,72900390625;3764,9526184082;10;369,3301;True;4450;168,9351;873,1505;167,4391;1,330729E+07
18;6019,119140625;3759,59265136719;10;374,4277;True;4450;175,2795;866,0469;238,3773;1,569119E+07
19;5963,0107421875;3816,70065261722;10;383,1003;True;4450;232,8525;877,8888;181,3612;1,513011E+07
20;5512,04296875;4044,77170410156;10;375,363;True;4450;232,1826;865,5463;144,7521;1,062043E+07
21;5983,14111328125;4099,54495849609;10;374,4277;True;4450;169,3506;871,2969;235,5409;1,533141E+07
22;5875,80712890625;3933,15098266602;10;374,4277;True;4450;169,5664;869,7663;221,1345;1,425807E+07
23;5755,275390625;3885,27684979439;10;374,4277;True;4450;172,187;876,2379;137,3412;1,305275E+07
24;5833,28369140625;4357,38534440994;10;374,4277;True;4450;198,1763;862,316;173,7278;1,383284E+07
25;5823,2734375;4026,66682128906;10;360,4008;True;4450;154,8672;868,8263;224,6551;1,373273E+07
26;6049,77685546875;4123,7923828125;10;373,981;True;4450;168,5366;873,8151;202,934;1,599777E+07
27;5749,55859375;4817,20476074219;10;373,981;True;4450;162,4668;876,148;197,6107;1,299559E+07
28;5804,0771484375;4449,61296386719;10;373,981;True;4450;160,6201;861,9785;198,4562;1,354077E+07
29;5693,1005859375;4225,1670193851;10;373,981;True;4450;159,9595;870,9311;130,9974;1,243101E+07
30;6517,46875;4293,36099853516;10;378,441;True;4450;168,6167;873,5243;203,4608;2,067469E+07
