Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2070,58032226563;571,076274000294;9;373,0393;False;1570,939;43,79935;499,6412;184,9835;484007,9
2;2127,87744140625;597,883285620809;9;361,2268;False;1611,777;44,69666;516,1;-71,17992;74678,63
3;3005,203125;955,26742567718;9;273,2023;True;2280;59,57053;725,2031;97,88726;8158902
4;2734,61962890625;1132,50181637108;9;282,3268;False;2074,425;52,43065;660,1949;81,44276;841630,6
5;2515,8623046875;973,989015311003;9;282,3268;False;1903,902;47,38171;611,9601;28,3469;207820,1
6;2976,4287109375;1323,37324242294;9;359,2621;False;2251,428;55,03439;725,0009;46,24236;378554,3
7;2685,00341796875;1741,35805089772;9;279,8553;False;2029,964;63,65182;655,0391;-54,13658;796428,5
8;2673,3291015625;1566,56497402042;10;379,4217;False;2024,265;42,52905;649,0639;193,8058;238191,3
9;2599,15673828125;1435,98564059585;10;381,5966;False;1969,219;39,39191;629,9381;205,9283;901159,4
10;2965,6865234375;1746,80835623741;10;379,3607;True;2280;45,75446;685,6865;194,4614;8812913
11;2985,80053710938;1774,5741171821;10;379,3607;True;2280;44,29041;705,8005;83,85585;7971305
12;2994,94116210938;1764,63724206239;9;333,0502;True;2280;46,35205;714,9412;216,2377;1,22184E+07
13;2968,42236328125;1383,52357149646;10;379,4071;True;2280;44,79822;688,4225;260,9031;1,284646E+07
14;2978,9423828125;1270,35525076911;10;362,791;True;2280;45,26862;698,9423;290,9777;1,365242E+07
15;2996,92626953125;1525,9918645937;10;379,4071;True;2280;43,10828;716,9263;274,7963;5649604
16;2788,57055664063;1477,56106469631;10;362,791;False;2115,511;51,10669;673,0596;-15,44804;925451,3
17;2999,97509765625;1976,70343176126;9;387,5696;True;2280;50,74951;719,975;78,06805;2846874
18;2992,50366210938;1725,13557894118;10;379,4071;True;2280;43,42761;712,5036;264,4166;1,840528E+07
19;2973,34033203125;1284,61357078198;10;350,0432;False;2249,714;52,07178;723,6261;73,72581;328126,2
20;3004,68823242188;1779,39694344308;9;387,2042;True;2280;52,42419;724,6883;126,3547;4794723
21;3005,31298828125;1966,23882728517;10;360,9942;True;2280;49,17615;725,3129;179,2435;5362368
22;2992,28515625;2156,68000376225;9;423,4285;True;2280;46,79028;712,2851;225,9032;9118149
23;3002,59594726563;2062,342841582;10;360,9942;True;2280;49,01526;722,596;210,5559;6884801
24;2962,99609375;1899,64986308515;10;360,9942;True;2280;44,79614;682,996;265,8405;4108227
25;2977,94702148438;1939,57792391777;10;358,2593;True;2280;48,1499;697,9471;183,915;8244746
26;2985,4658203125;1752,18451538086;10;369,843;True;2280;46,88721;705,4658;201,8498;2808291
27;2982,23779296875;2137,72918395996;10;362,2533;True;2280;43,95667;702,2379;201,5832;1,031349E+07
28;2987,37841796875;2358,01386413574;10;362,2533;True;2280;43,49243;707,3785;271,2051;1,83296E+07
29;2978,5478515625;1891,10542373657;10;382,2535;True;2280;48,073;698,5478;152,6796;4804544
30;2914,51025390625;1885,32771662623;10;382,2535;False;2207,318;56,24487;707,1922;-44,00416;580750,3
