Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;1868,93286132813 ;649,762796129659         ;                10 ;389,0542    ;False             ;1416,066     ;43,42149         ;452,8668          ;0,4854784            ;107745,5
         2 ;2980,50390625    ;1728,99692386985         ;                10 ;376,5686    ;True              ;2280         ;41,09591         ;700,5038          ;195,122              ;4681774
         3 ;2970,02807617188 ;1771,48399702199         ;                10 ;416,7259    ;False             ;2251,327     ;57,06956         ;718,7012          ;16,67015             ;918962,5
         4 ;2966,47998046875 ;1725,78889283538         ;                10 ;376,5686    ;True              ;2280         ;42,30731         ;686,48            ;364,9862             ;1153489
         5 ;3004,8818359375  ;1871,04329727888         ;                10 ;378,8856    ;True              ;2280         ;51,76816         ;724,8817          ;-42,05839            ;2110134
         6 ;2996,78344726563 ;2113,17379608154         ;                10 ;386,5952    ;True              ;2280         ;39,80814         ;716,7834          ;338,1772             ;3775650
         7 ;2990,3974609375  ;2075,6736738205          ;                10 ;416,3036    ;True              ;2280         ;46,4267          ;710,3975          ;268,4064             ;1,744215E+07
         8 ;2989,51782226563 ;2149,78468780518         ;                 9 ;389,8608    ;True              ;2280         ;48,06268         ;709,5178          ;90,40949             ;3983383
         9 ;2996,58178710938 ;1833,63815571666         ;                 9 ;389,8608    ;True              ;2280         ;43,13654         ;716,5818          ;254,4477             ;257410
        10 ;3003,7509765625  ;2160,45177212358         ;                 9 ;411,2174    ;True              ;2280         ;42,64771         ;723,7509          ;310,5816             ;1,939303E+07
        11 ;2995,83081054688 ;2140,74406767488         ;                 9 ;388,5678    ;True              ;2280         ;39,90692         ;715,8307          ;349,5533             ;1,030569E+07
        12 ;2994,5712890625  ;2029,38087890148         ;                 9 ;410,4067    ;True              ;2280         ;51,08264         ;714,5712          ;188,1901             ;7599423
        13 ;2992,21997070313 ;2158,82211595252         ;                10 ;405,5959    ;True              ;2280         ;46,74017         ;712,22            ;101,1087             ;2371478
        14 ;2981,09375       ;2043,69058392048         ;                 9 ;388,5678    ;True              ;2280         ;43,52209         ;701,0939          ;319,6039             ;1,997705E+07
        15 ;2982,35791015625 ;2202,84969329834         ;                 9 ;388,5678    ;True              ;2280         ;48,73279         ;702,3579          ;79,40509             ;762518,6
        16 ;2992,68017578125 ;2113,88341932297         ;                 9 ;363,6537    ;True              ;2280         ;43,56006         ;712,6801          ;138,7332             ;2,032436E+07
        17 ;2988,65478515625 ;2005,59944382608         ;                 9 ;388,5678    ;True              ;2280         ;40,29187         ;708,6548          ;272,3683             ;4098794
        18 ;2966,22998046875 ;1668,33151948396         ;                 9 ;388,5678    ;True              ;2280         ;41,01196         ;686,23            ;273,7692             ;1,866737E+07
        19 ;3006,37670898438 ;2399,7955078125          ;                 9 ;388,5678    ;True              ;2280         ;45,83826         ;726,3768          ;11,72978             ;4102062
        20 ;2992,36181640625 ;2326,61097812653         ;                 9 ;391,873     ;True              ;2280         ;39,92432         ;712,3619          ;306,0556             ;839703,4
        21 ;2986,84228515625 ;2296,6649333857          ;                 9 ;398,4513    ;True              ;2280         ;45,32263         ;706,8423          ;193,7937             ;5137148
        22 ;2998,35766601563 ;1957,32986693196         ;                 9 ;391,873     ;True              ;2280         ;46,66724         ;718,3577          ;131,3509             ;1,789816E+07
        23 ;2999,40258789063 ;2330,023339005           ;                 9 ;376,4988    ;True              ;2280         ;55,77588         ;719,4026          ;19,44736             ;3800338
        24 ;2932,00268554688 ;1826,23604032993         ;                 9 ;387,0492    ;True              ;2280         ;39,14807         ;652,0027          ;378,7208             ;2523714
        25 ;3002,62451171875 ;2257,38901557922         ;                 9 ;387,6936    ;True              ;2280         ;42,56946         ;722,6246          ;321,5704             ;6366150
        26 ;2989,42578125    ;2235,30014147758         ;                 9 ;417,0851    ;True              ;2280         ;44,07507         ;709,4257          ;124,4486             ;1007132
        27 ;2993,775390625   ;1906,53577252626         ;                 9 ;407,5919    ;True              ;2280         ;47,59888         ;713,7755          ;181,3918             ;7272632
        28 ;2994,19165039063 ;2092,77290248871         ;                 9 ;389,3011    ;True              ;2280         ;46,91089         ;714,1917          ;94,77764             ;9529600
        29 ;3004,20239257813 ;2161,65025644004         ;                 9 ;387,0849    ;True              ;2280         ;42,50171         ;724,2023          ;289,7834             ;7387642
        30 ;2997,03759765625 ;1992,51428513527         ;                 9 ;389,3011    ;True              ;2280         ;46,79272         ;717,0375          ;157,962              ;9279014
