Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1101489,5;210643,687672508;9;338,6168;False;1855,821;54,21728;593,5323;143,8148;381367,1
2;1215629,75;314217,359257565;8;366,085;False;1941,693;49,90714;626,0669;11,14054;363838,5
3;1605994,5;548940,691468807;10;382,0837;True;2280;44,67148;704,3835;199,036;1645188
4;1621681,875;565195,40895798;10;379,9199;True;2280;46,88864;711,264;274,9694;6814622
5;1613795,125;583385,219077949;10;359,7222;False;2251,13;54,41608;716,8823;23,62645;89196,33
6;1601157;462172,871236188;10;304,1302;True;2280;44,18079;702,2618;255,8903;1,640017E+07
7;1651200;757459,03670636;10;338,2249;True;2280;39,46286;724,2105;360,527;8096803
8;1629338,5;639729,856290393;10;349,5802;True;2280;39,7467;714,6221;348,5075;1,632061E+07
9;1615511;793926,144558239;10;348,4649;False;2257,047;50,02264;715,7632;-20,65119;40407,45
10;1629783,625;715918,04781382;10;324,3195;True;2280;46,9494;714,8174;157,9636;1,336889E+07
11;1622050,375;744116,116185331;10;346,4191;True;2280;50,35107;711,4256;174,0047;1,613376E+07
12;1612091,125;873380,949658203;9;311,7934;False;2251,24;55,96356;716,0905;-3,292926;243286,6
13;1615985,625;812434,935939798;10;349,5218;True;2280;50,13763;708,7656;59,40669;2,350071E+07
14;1642052,375;856879,616302443;9;301,0055;True;2280;46,23804;720,1984;194,1464;1544545
15;1641543,875;806819,198392701;9;332,5227;True;2280;46,25134;719,9754;155,7635;9963863
16;1611578,125;866178,107485962;9;314,9392;True;2280;49,97791;706,8325;112,1875;1,010228E+07
17;1657552,75;808075,449242139;8;316,7046;True;2280;45,797;726,9968;204,3265;1,132994E+07
18;1640857,125;684051,661621094;10;323,0638;True;2280;43,42444;719,6742;289,8578;5496830
19;1648324,125;985752,062980053;10;307,4403;True;2280;48,97046;722,9492;325,3578;3243688
20;1646971,625;805726,555011425;10;262,4985;True;2280;48,81238;722,356;154,3229;1,048735E+07
21;1638956,375;729079,288597432;9;276,934;True;2280;46,08105;718,8405;60,60656;5868115
22;1639740,25;994297,888022256;10;337,7366;True;2280;45,84192;719,1843;260,2057;3337931
23;1595588,625;998986,377057362;8;340,4242;True;2280;44,03662;699,8196;253,5763;7570317
24;1615946,5;1044053,76445138;10;314,5136;True;2280;43,40491;708,7485;298,3567;1,757933E+07
25;1661169;830678,377026367;9;345,124;True;2280;45,44189;728,5829;247,7759;1,142374E+07
26;1629351,25;836409,64960846;10;289,7951;True;2280;47,35938;714,6277;195,1214;6804916
27;1615315,625;856225,806030273;10;335,3703;True;2280;43,30737;708,4717;285,8813;1,878574E+07
28;1652963,5;1014368,78435544;10;312,048;True;2280;73,84155;724,984;265,8895;1,381011E+07
29;1661683,125;841369,175;10;339,5569;True;2280;42,60742;728,8084;284,5679;1,37485E+07
30;1524864,25;640746,066596732;10;339,5569;True;2280;45,38892;668,8001;300,3625;2371795
