Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;791265,25;81258,6413526472;9;334,7692;False;1572,015;41,77172;503,3445;168,43;79928,13
2;1498569,375;256580,82445212;9;383,9414;False;2164,09;49,06865;692,4708;5,947822;949934,8
3;929841,125;219859,705443182;10;287,0511;False;1695,249;37,20111;548,4984;84,6683;408580,1
4;1323747,25;281277,958852019;10;371,6332;False;2032,615;50,67688;651,2534;-21,95814;1016879
5;1566956,625;353013,5854767;10;371,6332;True;2280;41,02017;687,2617;393,5917;964637,3
6;1431515,5;409388,83687958;10;333,3806;False;2115,578;50,98755;676,6545;63,75614;918540
7;1097777,5;252546,624491747;10;333,3806;False;1858,505;46,7066;590,6777;40,85117;473775,8
8;1581285,75;286113,330454366;10;333,3806;True;2280;44,66107;693,5464;266,651;752697,9
9;1201325,625;241830,072658467;10;333,3806;False;1943,74;43,88019;618,0483;37,26799;549781,5
10;1613897,125;415191,323665862;10;314,8113;True;2280;47,01971;707,8496;238,542;1,428163E+07
11;1640963,125;385670,916478717;10;375,0201;True;2280;49,64575;719,7206;36,67777;2037362
12;1624936,625;453725,845830867;10;375,0201;True;2280;39,83118;712,6915;389,4896;3765250
13;1615417,5;542613,835431154;10;291,2661;False;2249,818;49,38794;718,0214;102,1804;407028,1
14;1562647,375;465205,923503616;9;367,9858;False;2202,106;54,30774;709,6151;17,09619;298842
15;1603664,5;453528,409136748;9;407,0797;True;2280;43,82837;703,3616;355,1193;3275283
16;1612367,75;482553,046652866;9;381,3946;True;2280;43,53931;707,1788;267,9691;1,137204E+07
17;1624942,125;378397,875078537;9;359,442;True;2280;43,39197;712,6939;331,9665;7624364
18;1655503,375;549610,65010499;8;367,7417;True;2280;45,67847;726,098;123,5244;4060680
19;1653407,75;679747,309983336;9;414,5835;True;2280;45,68408;725,1788;248,1872;2,090171E+07
20;1156211,625;297976,96495778;9;311,0917;False;1903,18;44,61047;607,5157;69,85598;908684,3
21;1503284,125;451347,948701489;9;370,1351;False;2164,826;51,02295;694,4135;-77,32898;78311,48
22;1375523,625;600360,729681782;9;319,1135;False;2074,307;41,78442;663,1244;109,8575;247842,5
23;1629075,5;717228,72734765;9;390,7797;True;2280;49,92627;714,5068;190,9466;4029379
24;1107221,25;619028,036341598;10;364,4518;False;1859,456;46,74268;595,4543;-18,68521;218639,3
25;1665443;567011,331941241;10;364,4518;True;2280;57,00708;730,4575;46,03949;3619195
26;1583513,5;694562,02239527;9;352,4665;True;2280;48,34985;694,5234;253,6469;3149596
27;1186391,125;520518,477563477;8;375,1395;False;1938,698;46,81641;611,9526;-9,078918;91635,36
28;1478436;594996,621776549;9;364,3936;False;2159,182;51,78442;684,7205;-47,94812;77363,57
29;1566674;613505,754834217;8;375,1395;True;2280;48,34741;687,1377;221,5758;1152398
30;1568617,5;744617,041732864;9;327,4186;False;2205,359;54,52295;711,2754;54,66949;391130,4
