Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2407578;1034655,09257812;10;352,966;False;3483,058;159,232;685,5676;21,33983;315579,6
2;5288826,5;1220503,67197266;10;331,7204;True;4450;194,1103;867,5447;264,0997;1820114
3;5853566;1658364,29960937;10;331,7204;True;4450;212,427;878,6476;305,7948;2112402
4;9919538;2714392,27734375;9;280,8007;True;4450;155,2297;858,9404;128,5745;3274403
5;25310640;3902508,13203125;10;343,2191;True;4450;187,5358;876,6209;106,0037;8430045
6;14790563;3402530,58300781;9;282,1076;True;4450;151,1466;854,2841;126,9263;5799848
7;18932988;6588231,15;9;282,1076;True;4450;168,5206;874,7039;252,8373;4357622
8;21673354;4382179,74296875;9;324,4854;True;4450;163,3082;872,704;244,6676;7183165
9;17648562;4478977,715625;9;324,4854;True;4450;155,0963;867,9127;340,1211;4128352
10;11037670;3944452,88125;10;297,3615;True;4450;182,364;876,7351;270,9472;3449855
11;23719448;6927079,1703125;10;297,3615;True;4450;191,3613;862,9255;233,9721;6909754
12;35209012;5309001,80625;9;297,101;True;4450;161,5806;862,8817;214,0753;7890318
13;18751410;4470825,26835938;10;299,9438;True;4450;208,1643;874,9363;69,10167;4306027
14;20517538;4833965,10527344;10;299,9438;True;4450;197,3596;878,9408;273,3706;5579948
15;20392684;9167418,3125;10;315,4386;True;4450;169,8044;868,3016;153,6817;5932358
16;19457958;6432748,07421875;10;334,0209;True;4450;190,5259;864,0792;260,208;5980160
17;23490950;11309308,9664063;10;319,3002;True;4450;182,5095;851,2966;188,3785;8660334
18;18777740;7809313,70703125;10;290,5371;True;4450;176,6147;856,2186;273,19;7346833
19;30354198;9934946,2578125;10;294,3987;True;4450;190,7271;868,093;206,7178;8663316
20;21948328;7122158,74521484;10;319,3002;True;4450;179,6128;871,7511;185,0441;7601803
21;41365444;8392022,14375;10;294,3987;True;4450;190,7231;869,0424;244,6942;1,02131E+07
22;20893048;7032905,20625;10;319,3002;True;4450;183,6289;873,4359;151,0525;8503474
23;19044332;6110811,496875;10;319,3002;True;4450;186,2646;866,158;300,8453;7725210
24;27311086;7591382,14414063;10;304,457;True;4450;167,2578;857,668;286,7047;5745797
25;24362604;8590368,7796875;10;317,9976;True;4450;176,8022;860,032;278,5547;6487306
26;19779810;5439678,725;10;315,5815;True;4450;193,7793;875,2018;148,4539;7638357
27;23445446;6229243,3578125;10;315,5815;True;4450;177,313;852,1822;277,2715;8502074
28;20939284;7539259,98359375;10;315,5815;True;4450;177,1543;862,9407;239,421;5206974
29;25922222;7517334,234375;10;317,924;True;4450;182,5942;860,0012;321,9302;9612370
30;20815340;6091408,7921875;10;315,5815;True;4450;188,1602;873,171;203,8062;6034695
