Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;415,937866210938 ;70,1816822031396         ;                 8 ;347,1229    ;False             ;1122,481     ;37,78799         ;352,1505          ;-1,499351            ;18227,16
         2 ;546,729797363281 ;231,616189795733         ;                 8 ;347,1229    ;False             ;1452,118     ;38,14423         ;459,3176          ;55,81403             ;61604,91
         3 ;788,701049804688 ;363,280213804543         ;                 8 ;347,1229    ;False             ;2078,216     ;46,51993         ;659,3339          ;-74,67934            ;109885,2
         4 ;701,693908691406 ;378,711798688769         ;                 9 ;306,3785    ;False             ;1862,307     ;42,46515         ;575,7578          ;3,616234             ;83647,22
         5 ;824,0888671875   ;412,407409107685         ;                 9 ;306,3785    ;False             ;2165,908     ;46,67358         ;689,9597          ;-23,74988            ;280414,4
         6 ;775,79248046875  ;263,169803057611         ;                 9 ;306,3785    ;False             ;2035,771     ;45,51965         ;656,4167          ;-44,25589            ;23484,1
         7 ;865,61962890625  ;444,985930231214         ;                 9 ;339,1447    ;True              ;2280         ;40,58557         ;700,0983          ;335,6285             ;1,430115E+07
         8 ;838,102600097656 ;540,602284044027         ;                 9 ;306,3785    ;False             ;2208,139     ;49,10779         ;700,1213          ;40,99545             ;35576,24
         9 ;869,02685546875  ;489,133068072796         ;                 9 ;339,1447    ;True              ;2280         ;45,66498         ;723,3077          ;198,1532             ;6432648
        10 ;866,968566894531 ;517,580719431862         ;                 9 ;353,8437    ;True              ;2280         ;47,41711         ;720,5351          ;152,5612             ;2516342
        11 ;793,565979003906 ;478,347944191424         ;                 9 ;353,8437    ;False             ;2076,578     ;41,98529         ;666,6073          ;15,62391             ;211938,9
        12 ;862,228149414063 ;580,458659362793         ;                10 ;364,8981    ;True              ;2280         ;48,10834         ;706,3465          ;156,8881             ;5594560
        13 ;859,442260742188 ;610,73076171875          ;                10 ;364,8981    ;True              ;2280         ;44,95166         ;689,6946          ;321,3018             ;3808362
        14 ;868,434509277344 ;646,59573418498          ;                10 ;364,8981    ;True              ;2280         ;43,03662         ;715,2004          ;300,8039             ;1002473
        15 ;867,581604003906 ;603,57615737915          ;                10 ;364,8981    ;True              ;2280         ;49,0033          ;726,2795          ;160,0448             ;4881684
        16 ;866,105407714844 ;630,666040420532         ;                10 ;366,2282    ;True              ;2280         ;46,32104         ;715,1004          ;229,2989             ;1081897
        17 ;862,265747070313 ;561,699062904716         ;                10 ;366,2282    ;True              ;2280         ;48,15869         ;706,5893          ;212,5876             ;9460882
        18 ;860,194458007813 ;647,695639038086         ;                10 ;366,2282    ;True              ;2280         ;44,52942         ;691,2167          ;273,9389             ;3528863
        19 ;864,116821289063 ;632,275244310498         ;                10 ;410,1504    ;True              ;2280         ;49,81592         ;716,6263          ;139,9921             ;3478787
        20 ;866,478332519531 ;622,006723022461         ;                10 ;366,2282    ;True              ;2280         ;49,07874         ;722,7781          ;117,4686             ;8209528
        21 ;865,855346679688 ;696,476528930664         ;                10 ;366,2282    ;True              ;2280         ;46,33948         ;714,3099          ;243,7383             ;6383330
        22 ;866,005920410156 ;604,174328101426         ;                10 ;366,2282    ;True              ;2280         ;46,10205         ;714,2578          ;292,031              ;2420482
        23 ;863,873840332031 ;664,79747948458          ;                10 ;392,1026    ;True              ;2280         ;43,94958         ;702,1284          ;226,0236             ;5949552
        24 ;862,918029785156 ;640,333046269417         ;                10 ;361,8201    ;True              ;2280         ;43,91406         ;698,8596          ;279,4085             ;6080780
        25 ;857,818481445313 ;598,085451745987         ;                10 ;340,484     ;True              ;2280         ;44,63904         ;683,5526          ;255,6171             ;118351
        26 ;856,372924804688 ;613,86799621582          ;                10 ;392,1026    ;False             ;2249,694     ;44,18408         ;707,9781          ;-100,1236            ;67499,61
        27 ;866,640563964844 ;670,379672241211         ;                10 ;369,7934    ;True              ;2280         ;46,0957          ;716,3584          ;260,1612             ;9484766
        28 ;854,604797363281 ;629,472991900146         ;                10 ;374,094     ;True              ;2280         ;45,23267         ;674,2255          ;307,4968             ;4887278
        29 ;869,463745117188 ;630,956646096706         ;                10 ;380,4462    ;True              ;2280         ;42,8811          ;718,2682          ;280,6108             ;4443657
        30 ;866,65478515625  ;630,194549655914         ;                10 ;369,7934    ;True              ;2280         ;46,39404         ;717,1019          ;257,0751             ;1931998
