Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;801,896606445313 ;210,03907903526          ;                 9 ;360,3258    ;False             ;2076,3       ;52,07469         ;666,1215          ;43,01847             ;43933,05
         2 ;881,303894042969 ;424,779971500612         ;                 9 ;364,0166    ;True              ;2280         ;46,43382         ;719,5913          ;209,5972             ;1,487904E+07
         3 ;879,269714355469 ;528,273332064599         ;                 9 ;362,8861    ;True              ;2280         ;43,29245         ;708,6221          ;356,2944             ;1,306694E+07
         4 ;877,030639648438 ;742,09002532959          ;                 9 ;385,4115    ;True              ;2280         ;50,17358         ;710,3334          ;156,5108             ;1,755891E+07
         5 ;879,203552246094 ;706,535821533203         ;                 9 ;362,8861    ;True              ;2280         ;49,53134         ;716,7202          ;125,7684             ;4588856
         6 ;884,224426269531 ;691,317901039124         ;                 8 ;356,6211    ;True              ;2280         ;42,52536         ;724,1152          ;243,0419             ;4476826
         7 ;883,555969238281 ;658,213798701763         ;                 9 ;353,6647    ;True              ;2280         ;45,50604         ;725,8612          ;252,3946             ;1,379092E+07
         8 ;878,042724609375 ;581,257798138261         ;                 9 ;361,4135    ;True              ;2280         ;44,3916          ;705,9977          ;266,9977             ;1747904
         9 ;882,539489746094 ;667,678441619873         ;                 9 ;364,0166    ;True              ;2280         ;42,52911         ;718,5036          ;251,3798             ;7297815
        10 ;884,824768066406 ;708,109120696783         ;                10 ;388,7015    ;True              ;2280         ;42,37048         ;725,9099          ;366,4686             ;6012670
        11 ;880,740295410156 ;620,870232391357         ;                 9 ;364,2158    ;True              ;2280         ;43,19086         ;713,3887          ;304,7443             ;238339
        12 ;884,25439453125  ;698,029600524902         ;                10 ;420,0056    ;True              ;2280         ;45,75555         ;728,522           ;122,3118             ;9848905
        13 ;882,546264648438 ;668,70867767334          ;                10 ;373,2095    ;True              ;2280         ;45,70477         ;722,7604          ;145,7579             ;1781684
        14 ;883,447875976563 ;649,95122987926          ;                10 ;397,0983    ;True              ;2280         ;42,67444         ;721,7254          ;254,766              ;1,494541E+07
        15 ;880,053833007813 ;713,412677764893         ;                10 ;366,1028    ;True              ;2280         ;46,08032         ;714,9531          ;252,6963             ;289358,5
        16 ;877,234191894531 ;659,659871673584         ;                10 ;350,3714    ;True              ;2280         ;47,28735         ;707,1638          ;209,3635             ;1287410
        17 ;882,225646972656 ;701,063495255262         ;                10 ;387,047     ;True              ;2280         ;42,79565         ;717,8129          ;299,629              ;4635697
        18 ;886,254089355469 ;731,812381744385         ;                10 ;373,4873    ;True              ;2280         ;45,07263         ;734,277           ;245,5309             ;1,191039E+07
        19 ;882,789123535156 ;811,626358032227         ;                10 ;397,0983    ;True              ;2280         ;39,73584         ;715,6115          ;397,2298             ;9919211
        20 ;880,529663085938 ;691,094299712777         ;                10 ;410,0886    ;True              ;2280         ;46,25134         ;716,7672          ;197,7129             ;1,202188E+07
        21 ;880,47998046875  ;640,706314134598         ;                10 ;410,3995    ;True              ;2280         ;43,04309         ;712,3239          ;378,1984             ;2,607704E+07
        22 ;880,067016601563 ;766,167306900024         ;                10 ;397,0983    ;True              ;2280         ;40,49878         ;707,5549          ;361,6422             ;1,627484E+07
        23 ;882,47509765625  ;723,728259639442         ;                10 ;410,0886    ;True              ;2280         ;48,75452         ;726,5897          ;149,6151             ;1,471305E+07
        24 ;881,390808105469 ;658,372031037509         ;                10 ;410,0886    ;True              ;2280         ;46,18384         ;719,5476          ;283,2101             ;2292977
        25 ;877,006408691406 ;575,786495840549         ;                10 ;390,7827    ;True              ;2280         ;47,87793         ;707,1918          ;214,8161             ;9458811
        26 ;883,410888671875 ;603,422362674028         ;                10 ;390,7827    ;True              ;2280         ;45,52258         ;725,3997          ;227,6396             ;1707613
        27 ;883,077331542969 ;691,153408278525         ;                10 ;390,7827    ;True              ;2280         ;45,75244         ;724,5942          ;300,3559             ;3138034
        28 ;883,952392578125 ;629,14111482501          ;                10 ;410,3995    ;True              ;2280         ;42,61133         ;723,3229          ;244,1634             ;2,773223E+07
        29 ;886,2275390625   ;740,586624592543         ;                10 ;410,3995    ;True              ;2280         ;39,32544         ;726,5257          ;429,7059             ;2,092395E+07
        30 ;882,001159667969 ;691,560069280863         ;                10 ;404,43      ;True              ;2280         ;43,20581         ;717,6115          ;294,8163             ;7245373
