Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;793,515380859375 ;189,06993159306          ;                 7 ;279,4374    ;False             ;1491,895     ;44,10648         ;475,6775          ;-37,20625            ;35841,76
         2 ;1101,79187011719 ;507,858153963555         ;                 9 ;322,1427    ;False             ;2072,98      ;46,1198          ;653,0189          ;131,3259             ;452098,9
         3 ;1311,82763671875 ;588,844524928927         ;                10 ;322,7568    ;True              ;2280         ;39,724           ;718,2764          ;289,8865             ;2,743705E+07
         4 ;1310,04699707031 ;662,418634737423         ;                 9 ;322,1427    ;True              ;2280         ;47,08014         ;700,4697          ;232,39               ;1,190623E+07
         5 ;1310,83349609375 ;800,354979705811         ;                 9 ;322,1427    ;True              ;2280         ;43,23636         ;708,3348          ;300,6278             ;1,347328E+07
         6 ;1310,66638183594 ;915,299618530273         ;                 9 ;326,5942    ;True              ;2280         ;43,41498         ;706,6635          ;236,136              ;626974,1
         7 ;1310,47814941406 ;960,34919128418          ;                 9 ;325,192     ;True              ;2280         ;46,99799         ;704,7813          ;163,3723             ;8125528
         8 ;1308,20129394531 ;878,169071960449         ;                 9 ;328,0869    ;True              ;2280         ;45,12207         ;682,0133          ;237,4118             ;7377482
         9 ;1172,63146972656 ;878,498640441895         ;                 9 ;328,5601    ;False             ;2204,715     ;57,07288         ;702,7397          ;-11,42777            ;280301,8
        10 ;1310,84948730469 ;783,270900607109         ;                 9 ;311,1561    ;True              ;2280         ;46,9931          ;708,4948          ;168,5961             ;4782402
        11 ;1310,24377441406 ;866,113827782869         ;                 9 ;311,1561    ;True              ;2280         ;43,83093         ;702,4379          ;255,2921             ;118742
        12 ;1310,4111328125  ;922,503193759918         ;                 9 ;311,1561    ;True              ;2280         ;43,7605          ;704,1118          ;166,3095             ;4240135
        13 ;1126,44946289063 ;742,214168619923         ;                10 ;344,2772    ;False             ;2117,762     ;50,4964          ;675,6849          ;-26,88308            ;294669,1
        14 ;1148,56188964844 ;762,922809326649         ;                10 ;344,2772    ;False             ;2160,939     ;52,73572         ;680,9254          ;13,31473             ;77365,82
        15 ;1311,56945800781 ;922,91389465332          ;                 9 ;288,9577    ;True              ;2280         ;42,94922         ;715,694           ;275,7129             ;1,338869E+07
        16 ;1310,46740722656 ;974,407293701172         ;                 9 ;288,9577    ;True              ;2280         ;46,80762         ;704,6744          ;187,0106             ;797868,9
        17 ;1310,97021484375 ;870,004438781738         ;                 9 ;291,3869    ;True              ;2280         ;49,78174         ;709,7018          ;164,451              ;1,459605E+07
        18 ;1308,31384277344 ;887,744569347054         ;                 9 ;297,5773    ;True              ;2280         ;44,849           ;683,1386          ;201,7068             ;8467153
        19 ;1310,03161621094 ;930,374382019043         ;                 9 ;297,5773    ;True              ;2280         ;47,15063         ;700,3164          ;157,2371             ;2233394
        20 ;1196,75219726563 ;958,484292602539         ;                 9 ;309,9201    ;False             ;2251,865     ;51,11096         ;708,1976          ;48,09672             ;595467,4
        21 ;1309,11010742188 ;793,954346466064         ;                 9 ;304,5033    ;True              ;2280         ;48,24341         ;691,1013          ;156,5761             ;7339695
        22 ;1310,96435546875 ;930,587551879883         ;                 9 ;304,5033    ;True              ;2280         ;43,50464         ;709,6429          ;162,3751             ;7883648
        23 ;1310,26989746094 ;912,77727355957          ;                 9 ;304,5033    ;True              ;2280         ;43,95251         ;702,6984          ;153,818              ;1,266876E+07
        24 ;1310,61962890625 ;878,43504434824          ;                 9 ;288,7936    ;True              ;2280         ;47,64819         ;706,1959          ;160,8167             ;1,179423E+07
        25 ;1311,99267578125 ;1015,9696105957          ;                 9 ;304,5033    ;True              ;2280         ;46,20557         ;719,9268          ;166,2645             ;4852724
        26 ;1306,56750488281 ;915,17147064209          ;                 9 ;306,4176    ;True              ;2280         ;42,30115         ;665,675           ;283,5696             ;1,064098E+07
        27 ;1311,2568359375  ;889,975293731689         ;                 9 ;316,2867    ;True              ;2280         ;39,89087         ;712,5687          ;310,9399             ;1,970151E+07
        28 ;1307,99060058594 ;976,927809143066         ;                 9 ;306,5514    ;True              ;2280         ;42,65845         ;679,9058          ;203,3269             ;1,42327E+07
        29 ;1310,29284667969 ;873,88401184082          ;                 9 ;314,3724    ;True              ;2280         ;43,72778         ;702,9284          ;203,9698             ;9179574
        30 ;1311,83154296875 ;869,819024281204         ;                 9 ;316,2867    ;True              ;2280         ;43,15479         ;718,3156          ;151,2206             ;1,315004E+07
