Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;836,247985839844;234,332305427943;10;377,5861;False;1572,17;41,2177;501,6297;-34,33305;81879,87
2;1148,17590332031;560,954847932234;9;326,3891;False;2158,563;51,7857;688,9428;25,61653;385616,2
3;1312,24560546875;615,653961854754;9;350,3466;True;2280;42,59903;722,4556;186,3563;1,049537E+07
4;1310,84753417969;808,799765890837;9;350,3466;True;2280;40,17159;708,4752;319,4621;1,606441E+07
5;1307,11584472656;913,462174224853;9;350,3466;True;2280;38,58234;671,1584;384,3742;1,764931E+07
6;1311,86022949219;924,856517791748;9;317,8907;True;2280;39,72006;718,6024;295,8784;126786,4
7;1311,92077636719;902,704256439209;9;317,8907;True;2280;50,0943;719,2073;201,1735;6626098
8;1311,83813476563;936,064472961426;9;318,1982;True;2280;42,94019;718,3811;112,7184;1,368752E+07
9;1306,43981933594;905,181535243988;10;349,0658;True;2280;42,69;664,3986;312,32;8358024
10;1311,40905761719;908,3810546875;10;324,6036;True;2280;44,60529;714,0904;262,9283;6523241
11;1312,72155761719;870,878312683105;9;350,3466;True;2280;45,40912;727,2158;303,9628;6599961
12;1307,84814453125;848,901182746887;9;330,2061;True;2280;42,04633;678,4813;303,205;1,525646E+07
13;1311,94897460938;810,964207410812;9;350,3466;True;2280;39,66974;719,4897;405,4487;1,416609E+07
14;1311,60522460938;925,703163146973;9;354,171;True;2280;39,73346;716,052;342,0553;2,074783E+07
15;1312,28552246094;1000,57327423096;9;350,3466;True;2280;42,91797;722,8552;241,4429;1,604232E+07
16;1310,98498535156;993,275146484375;9;350,3619;True;2280;44,32068;709,8503;72,53522;3467617
17;1312,17333984375;923,777863804996;9;350,3466;True;2280;45,65601;721,7333;174,6826;1,575283E+07
18;1312,16674804688;933,761193561554;9;350,3466;True;2280;39,54272;721,6675;318,6479;8871231
19;1311,79064941406;934,979479360022;9;350,3466;True;2280;39,74561;717,907;380,5193;2,078968E+07
20;1310,34130859375;902,002720451355;9;350,3466;True;2280;41,93262;703,4135;267,3463;8357584
21;1312,17944335938;900,453712654114;9;350,3466;True;2280;43,82141;721,7943;151,5215;5366688
22;1310,08898925781;881,909536743164;9;345,6433;True;2280;40,63428;700,89;308,5851;1,494357E+07
23;1312,88391113281;920,703080749512;9;345,0767;True;2280;42,35876;728,8393;178,2254;1183512
24;1310,19458007813;900,597698974609;9;354,5836;True;2280;51,80054;701,9458;50,87127;9522114
25;1311,57482910156;915,823299789429;9;345,0767;True;2280;46,2533;715,7485;143,326;9743373
26;1311,13073730469;779,789142227173;9;324,9866;True;2280;43,25623;711,3076;289,1842;2,118257E+07
27;1312,26098632813;793,213423013687;9;324,9866;True;2280;39,32275;722,6093;389,4937;1083387
28;1311,48291015625;879,710240936279;9;322,9456;True;2280;43,04236;714,8295;288,5281;1,927316E+07
29;1312,33483886719;920,163355636597;9;322,9456;True;2280;39,32837;723,3483;417,3842;3058744
30;1312,01098632813;884,450317001343;9;345,0767;True;2280;39,60181;720,1097;351,5359;1,307694E+07
