Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;873,384155273438;139,867662252265;10;400,975;False;1649,148;41,99959;530,1015;12,28057;179298,9
2;1025,55786132813;436,284100289387;10;400,975;False;1939,072;57,35426;617,5707;-66,73521;127494,1
3;1188,99768066406;688,553469344974;10;409,8024;False;2247,479;44,20056;696,7826;49,14237;169747,3
4;1299,44262695313;746,053941814747;10;400,975;True;2280;39,83238;634,2592;349,9702;1,143863E+07
5;1169,33935546875;771,181050109863;10;395,0389;False;2209,105;52,77328;700,6431;-30,81798;660214,5
6;1097,42883300781;714,699360275269;10;400,975;False;2073,08;49,16446;658,0551;-114,8483;69754,7
7;1308,11450195313;811,13949432373;10;400,975;True;2280;48,5968;729,7415;-32,33536;1419214
8;1306,72290039063;930,706893920898;10;396,5516;True;2280;49,56812;716,7973;103,4468;3636325
9;1143,4150390625;782,991453599185;10;379,9834;False;2159,779;49,79578;685,0535;-87,01501;570463,8
10;1096,63598632813;810,021821594238;10;401,2303;False;2072,744;44,79767;647,4379;-25,93028;200391,4
11;1154,67468261719;796,583648681641;10;400,975;False;2181,333;45,64923;685,7301;-89,14665;58715,29
12;1306,25476074219;752,18529168712;10;364,3349;True;2280;40,35681;702,9048;289,9131;6385048
13;1307,16418457031;767,293798828125;10;361,9937;True;2280;46,16736;717,8092;142,4837;7457064
14;1143,89538574219;684,91772300005;10;364,3349;False;2161,956;46,73279;675,9086;103,9574;320695,9
15;1306,46984863281;924,242237091064;10;346,6943;True;2280;49,3761;714,0747;43,01526;1654986
16;1305,78601074219;954,581775202882;10;364,3349;True;2280;40,84888;698,7092;279,5163;538356,5
17;1303,05029296875;929,49295501709;10;368,4997;True;2280;42,1604;672,6634;275,991;2747354
18;1305,67724609375;935,481161499023;10;335,8738;True;2280;50,42786;707,2009;73,53173;1921246
19;1306,19689941406;951,258166503906;10;335,8738;True;2280;52,6012;714,5699;191,7984;7865831
20;1190,25061035156;835,710733795166;10;335,8738;False;2249,324;55,32776;711,2109;-41,17408;688298,9
21;1307,94250488281;846,485990142822;10;335,8738;True;2280;45,77881;725,2036;68,49485;1,170221E+07
22;1307,01550292969;885,485356140137;10;367,9597;True;2280;43,17163;713,3261;243,4736;1,81958E+07
23;1306,80908203125;942,355467224121;10;367,9597;True;2280;46,17859;714,2695;119,5324;3257684
24;1306,82531738281;896,182583749294;10;388,3752;True;2280;43,30725;711,5598;240,5517;865024,9
25;1306,12084960938;846,513270126842;10;385,4926;True;2280;43,5874;704,7964;255,123;5007945
26;1307,15698242188;932,125939941406;10;385,4926;True;2280;42,98364;714,5536;178,366;1,900092E+07
27;1306,37927246094;963,380261993408;10;385,4926;True;2280;49,34387;713,1367;114,1725;2,136974E+07
28;1306,64379882813;1121,5690826416;10;385,4926;True;2280;46,33606;712,7742;102,6994;1,257503E+07
29;1306,08764648438;1163,39903259277;10;366,0087;True;2280;40,66699;701,5439;198,8196;4132029
30;1305,31665039063;999,251284790039;10;385,4926;True;2280;48,1438;701,3098;189,4311;5388057
