Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;645,986633300781 ;156,826678488473         ;                10 ;359,1033    ;False             ;1222,635     ;38,99029         ;385,6793          ;120,0954             ;40170,59
         2 ;961,124145507813 ;267,113462893758         ;                 9 ;356,7852    ;False             ;1817,447     ;52,0759          ;576,0815          ;69,76933             ;107003,2
         3 ;963,766479492188 ;551,277741978726         ;                10 ;352,1093    ;False             ;1820,643     ;45,09793         ;579,5472          ;46,96485             ;274642,5
         4 ;1007,26739501953 ;571,901111733913         ;                10 ;352,1093    ;False             ;1902,671     ;49,51544         ;608,835           ;-24,70118            ;505550,2
         5 ;1074,96313476563 ;726,36809399128          ;                10 ;360,6535    ;False             ;2031,93      ;48,87262         ;638,8525          ;23,79026             ;165912,9
         6 ;1307,82153320313 ;719,832026973134         ;                10 ;325,4515    ;True              ;2280         ;45,79987         ;724,0157          ;190,1292             ;4334487
         7 ;1304,82336425781 ;886,234016418457         ;                10 ;325,4515    ;True              ;2280         ;48,78522         ;697,0183          ;185,071              ;1608271
         8 ;1306,80944824219 ;604,116589675099         ;                10 ;325,4515    ;True              ;2280         ;39,98962         ;708,0839          ;404,0294             ;1,201749E+07
         9 ;1099,59411621094 ;637,605070388317         ;                10 ;326,2952    ;False             ;2075,37      ;49,89288         ;668,9834          ;-10,20533            ;185864,6
        10 ;1306,3779296875  ;860,226010131836         ;                10 ;326,2952    ;True              ;2280         ;53,02289         ;716,8021          ;145,4721             ;1417274
        11 ;1307,06469726563 ;871,488313293457         ;                10 ;326,2952    ;True              ;2280         ;46,47321         ;717,1207          ;204,7287             ;7216799
        12 ;1307,48461914063 ;930,684100854397         ;                10 ;326,2952    ;True              ;2280         ;52,30054         ;727,1465          ;41,40747             ;1112292
        13 ;1306,978515625   ;944,978817749023         ;                10 ;335,1287    ;True              ;2280         ;49,31488         ;719,0994          ;239,902              ;2295724
        14 ;1308,11218261719 ;870,646713966131         ;                10 ;339,6211    ;True              ;2280         ;42,53265         ;723,6547          ;245,8842             ;1,405446E+07
        15 ;1308,19458007813 ;854,988979238272         ;                10 ;321,4162    ;True              ;2280         ;42,45313         ;724,3989          ;295,9847             ;634669,3
        16 ;1306,0283203125  ;851,931500622607         ;                10 ;329,3582    ;True              ;2280         ;49,91882         ;710,2026          ;218,2331             ;7572765
        17 ;1308,11169433594 ;800,774400234222         ;                10 ;351,0108    ;True              ;2280         ;42,69958         ;723,8166          ;302,2557             ;1,002486E+07
        18 ;1307,64953613281 ;910,281022644043         ;                10 ;323,8594    ;True              ;2280         ;45,76025         ;722,256           ;286,36               ;4865701
        19 ;1307,56115722656 ;880,182842826843         ;                10 ;323,8594    ;True              ;2280         ;45,97058         ;721,5815          ;184,4224             ;1,018641E+07
        20 ;1304,98974609375 ;857,383379310369         ;                 9 ;327,8541    ;True              ;2280         ;44,56824         ;694,4654          ;310,3306             ;3838247
        21 ;1306,96655273438 ;984,011795043945         ;                 9 ;329,8368    ;True              ;2280         ;52,10168         ;721,7672          ;120,1734             ;468477,8
        22 ;1301,90209960938 ;911,010046386719         ;                 9 ;359,1062    ;True              ;2280         ;42,28503         ;661,3057          ;369,1941             ;8140273
        23 ;1305,86901855469 ;777,023358479142         ;                10 ;331,3409    ;True              ;2280         ;45,2439          ;703,9341          ;257,861              ;5456538
        24 ;1307,84155273438 ;829,501416283846         ;                10 ;331,3409    ;True              ;2280         ;51,77551         ;730,1906          ;-19,52442            ;3208106
        25 ;1146,06701660156 ;801,175025081635         ;                10 ;334,5775    ;False             ;2163,643     ;52,5752          ;695,0324          ;-2,118539            ;222130,7
        26 ;1307,64367675781 ;762,101116478443         ;                 9 ;325,5025    ;True              ;2280         ;43,09961         ;719,5365          ;202,3513             ;8269474
        27 ;1307,78955078125 ;853,762512946129         ;                10 ;331,3409    ;True              ;2280         ;45,58252         ;723,4782          ;204,5008             ;7276327
        28 ;1190,68518066406 ;848,902458357811         ;                 9 ;325,5025    ;False             ;2251,158     ;67,27808         ;718,3385          ;20,00494             ;569965,6
        29 ;1306,50390625    ;956,79206237793          ;                10 ;331,7631    ;True              ;2280         ;43,68408         ;708,7229          ;294,0992             ;1,072103E+07
        30 ;1307,49536132813 ;979,009991455078         ;                10 ;331,3409    ;True              ;2280         ;46,09692         ;721,0499          ;181,7175             ;3782896
