Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;852,744567871094 ;165,90787968291          ;                10 ;344,0238    ;False             ;1612,795     ;50,13992         ;513,611           ;123,3261             ;246427,2
         2 ;1125,5478515625  ;417,314368483424         ;                 9 ;395,4547    ;False             ;2124,864     ;46,67332         ;677,8338          ;-49,33456            ;103883
         3 ;1308,24841308594 ;581,486716284603         ;                 9 ;395,4547    ;True              ;2280         ;45,89026         ;728,3746          ;188,7856             ;4795353
         4 ;1306,65319824219 ;820,168106079102         ;                 9 ;395,4547    ;True              ;2280         ;46,40039         ;712,9324          ;259,5061             ;4020245
         5 ;1306,81896972656 ;921,270376213            ;                 9 ;377,9216    ;True              ;2280         ;43,20499         ;711,3951          ;271,3316             ;2852731
         6 ;1169,22875976563 ;876,918051147461         ;                 9 ;391,5144    ;False             ;2208,552     ;43,79285         ;693,3188          ;-83,32435            ;35582,36
         7 ;1304,13159179688 ;795,175103068352         ;                 9 ;395,4547    ;True              ;2280         ;45,39951         ;686,7158          ;264,41               ;9371377
         8 ;1306,58911132813 ;791,998967216429         ;                 9 ;382,3539    ;True              ;2280         ;52,75861         ;718,6494          ;162,0906             ;745557,9
         9 ;1304,23657226563 ;855,994645048678         ;                 9 ;402,8563    ;True              ;2280         ;41,48334         ;683,8489          ;344,9486             ;2075535
        10 ;1305,4580078125  ;927,31244354248          ;                 9 ;410,4959    ;True              ;2280         ;44,82141         ;699,4009          ;232,2045             ;1,622347E+07
        11 ;1306,76977539063 ;897,071638017253         ;                 9 ;402,8563    ;True              ;2280         ;46,38245         ;714,0797          ;218,151              ;1,546812E+07
        12 ;1306,56640625    ;880,773501304974         ;                 9 ;406,797     ;True              ;2280         ;46,50092         ;712,1645          ;141,3899             ;6495936
        13 ;1305,09460449219 ;877,881463762932         ;                 9 ;406,797     ;True              ;2280         ;45,16962         ;696,1154          ;222,6485             ;1522937
        14 ;1304,29382324219 ;868,185798633099         ;                 9 ;409,0832    ;True              ;2280         ;41,5119          ;684,4503          ;351,4308             ;7814294
        15 ;1306,74890136719 ;1012,74843262453         ;                 9 ;430,9403    ;True              ;2280         ;43,1687          ;710,6573          ;323,867              ;4284738
        16 ;1304,49731445313 ;1050,3944732666          ;                 9 ;430,9403    ;True              ;2280         ;53,71826         ;698,6914          ;178,2941             ;1,642068E+07
        17 ;1307,31298828125 ;940,567033163342         ;                10 ;418,0248    ;True              ;2280         ;54,82666         ;727,9571          ;86,1452              ;2413952
        18 ;1307,65002441406 ;951,701861572266         ;                10 ;425,9124    ;True              ;2280         ;42,62915         ;719,129           ;294,8112             ;2,142268E+07
        19 ;1307,26306152344 ;953,68605189072          ;                10 ;425,9124    ;True              ;2280         ;42,94348         ;715,5735          ;267,9173             ;508608,6
        20 ;1306,61437988281 ;927,614737209678         ;                10 ;423,9372    ;True              ;2280         ;43,4834          ;709,6273          ;264,8897             ;1,951255E+07
        21 ;1307,59094238281 ;949,907929870486         ;                10 ;418,0248    ;True              ;2280         ;42,89685         ;718,8061          ;318,1607             ;2,911961E+07
        22 ;1306,99499511719 ;1072,93405456543         ;                10 ;418,0248    ;True              ;2280         ;43,19189         ;713,1413          ;271,2669             ;8823694
        23 ;1306,62731933594 ;918,733631896973         ;                10 ;418,0248    ;True              ;2280         ;43,27148         ;709,5451          ;285,1194             ;7483902
        24 ;1306,87414550781 ;962,896460342407         ;                10 ;418,0248    ;True              ;2280         ;46,89709         ;715,6385          ;117,8051             ;9493236
        25 ;1306,94982910156 ;891,758699035645         ;                10 ;418,0248    ;True              ;2280         ;43,29321         ;712,7909          ;266,9115             ;3017535
        26 ;1307,60021972656 ;1010,85893554688         ;                10 ;417,0769    ;True              ;2280         ;42,73755         ;718,7391          ;265,4272             ;2,093337E+07
        27 ;1307,22290039063 ;1045,89727478027         ;                10 ;408,6805    ;True              ;2280         ;43,04053         ;715,2695          ;234,2314             ;2955699
        28 ;1307,40905761719 ;1041,02065429687         ;                10 ;427,4537    ;True              ;2280         ;45,95776         ;720,0483          ;162,955              ;2,064513E+07
        29 ;1307,92346191406 ;1013,15957794189         ;                10 ;400,2669    ;True              ;2280         ;45,73657         ;724,9706          ;203,0558             ;1,526113E+07
        30 ;1307,08618164063 ;946,054839244485         ;                10 ;429,6512    ;True              ;2280         ;49,19922         ;720,0608          ;157,6628             ;2,229003E+07
        31 ;1307,03759765625 ;778,266067890078         ;                10 ;427,4537    ;True              ;2280         ;49,67212         ;720,0486          ;138,4742             ;3,325127E+07
        32 ;1307,37512207031 ;963,525748157501         ;                10 ;395,8185    ;True              ;2280         ;46,8855          ;720,6368          ;160,6355             ;1054402
        33 ;1306,46960449219 ;1055,59897766113         ;                10 ;401,0331    ;True              ;2280         ;46,43188         ;711,1284          ;190,8143             ;1,947304E+07
        34 ;1306,43041992188 ;950,327700483939         ;                 9 ;400,1518    ;True              ;2280         ;40,27979         ;704,5837          ;309,0791             ;1,67479E+07
        35 ;1305,57983398438 ;1076,13202514648         ;                 9 ;412,0027    ;True              ;2280         ;50,38843         ;706,1866          ;116,5888             ;4731104
        36 ;1307,10791015625 ;1169,2545501709          ;                 9 ;414,4702    ;True              ;2280         ;43,23682         ;714,3162          ;174,5289             ;3,168099E+07
        37 ;1306,5771484375  ;931,294782551751         ;                 9 ;405,1232    ;True              ;2280         ;40,25146         ;706,0229          ;358,659              ;1,681334E+07
        38 ;1306,70654296875 ;976,554406738281         ;                 9 ;412,0027    ;True              ;2280         ;43,29761         ;710,3636          ;199,1595             ;1,191619E+07
        39 ;1307,74719238281 ;1034,80360412598         ;                 9 ;405,1232    ;True              ;2280         ;42,72339         ;720,1957          ;186,5298             ;682703,2
        40 ;1306,74938964844 ;1088,52181243896         ;                 9 ;431,4774    ;True              ;2280         ;40,25293         ;707,7472          ;303,6758             ;2,87431E+07
        41 ;1307,23608398438 ;1052,5259762764          ;                 9 ;405,1232    ;True              ;2280         ;42,80737         ;715,168           ;287,3856             ;2773673
        42 ;1306,96215820313 ;1049,93553295136         ;                 9 ;405,1232    ;True              ;2280         ;43,17163         ;712,7933          ;225,9673             ;3101113
        43 ;1307,73571777344 ;1064,01142942682         ;                 9 ;405,1232    ;True              ;2280         ;42,72559         ;720,0826          ;275,5159             ;7032928
        44 ;1307,01513671875 ;1120,9293548584          ;                 9 ;405,1232    ;True              ;2280         ;43,02808         ;713,1795          ;259,0508             ;7689034
        45 ;1307,07666015625 ;1165,97219543457         ;                10 ;412,369     ;True              ;2280         ;46,24048         ;717,0073          ;206,5154             ;8660821
        46 ;1307,40686035156 ;1038,45058746338         ;                10 ;390,7383    ;True              ;2280         ;42,84546         ;716,9145          ;222,5003             ;9298114
        47 ;1306,98620605469 ;1084,92233831026         ;                 9 ;408,801     ;True              ;2280         ;43,38135         ;713,2431          ;243,1509             ;4623235
        48 ;1307,0615234375  ;1050,35634651184         ;                10 ;389,7124    ;True              ;2280         ;43,02832         ;713,644           ;269,953              ;1065362
        49 ;1306,09545898438 ;1025,10387420654         ;                10 ;380,6738    ;True              ;2280         ;43,55981         ;704,5146          ;285,184              ;8751411
        50 ;1307,57580566406 ;970,892304721475         ;                 8 ;401,5226    ;True              ;2280         ;46,30786         ;722,0656          ;183,5475             ;5151403
