Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;3014,27270507813 ;-620,684673547745        ;                 9 ;391,869     ;False             ;834,0179     ;32,91027         ;262,025           ;50,43015             ;11166,3
         2 ;3033,3896484375  ;-941,411812019348        ;                10 ;377,9174    ;False             ;1008,59      ;62,52367         ;323,6208          ;-15,37765            ;19717,69
         3 ;3300,99291992188 ;35,7649978637695         ;                 9 ;412,2084    ;False             ;1007,156     ;38,15712         ;316,4444          ;17,69536             ;16935,68
         4 ;3877,15454101563 ;1999,48176574707         ;                 9 ;412,2084    ;False             ;1375,149     ;52,49963         ;440,3213          ;-39,57509            ;29573,69
         5 ;3178,79565429688 ;1355,63329353333         ;                 9 ;393,1392    ;False             ;832,441      ;32,45926         ;258,8386          ;23,67628             ;9440,953
         6 ;3943,81884765625 ;1456,34201278687         ;                 9 ;370,291     ;False             ;1008,665     ;57,13177         ;323,2249          ;-48,49448            ;10624,75
         7 ;3289,82690429688 ;1548,71490936279         ;                 9 ;398,7787    ;False             ;835,2228     ;40,289           ;262,6858          ;36,05904             ;8464,092
         8 ;2581,68505859375 ;1142,22782402039         ;                 9 ;370,291     ;False             ;735,5806     ;44,02325         ;236,6586          ;-22,34434            ;10591,89
         9 ;4273,53369140625 ;1433,01690216064         ;                 9 ;398,7787    ;False             ;1186,833     ;48,86029         ;378,1917          ;27,55638             ;16207,52
        10 ;3400,833984375   ;747,916033267975         ;                 9 ;368,3546    ;False             ;1151,358     ;60,72711         ;371,5307          ;-40,02871            ;23191,21
        11 ;3068,19067382813 ;1795,29654083252         ;                 9 ;332,8831    ;False             ;975,0314     ;41,11487         ;313,2323          ;-38,7354             ;17736,78
        12 ;4414,9189453125  ;1142,19828662872         ;                 9 ;332,8831    ;False             ;1048,546     ;47,25842         ;340,0306          ;-14,73789            ;7945,245
        13 ;3374,74438476563 ;1201,11181564331         ;                 9 ;332,8831    ;False             ;841,3492     ;36,41931         ;267,9136          ;-25,92304            ;7987,135
        14 ;3939,77294921875 ;1343,66784219742         ;                 9 ;389,9326    ;False             ;1185,54      ;42,23486         ;378,2051          ;4,584555             ;19489,35
        15 ;4715,33154296875 ;1443,85190887451         ;                 9 ;389,9326    ;False             ;1118,003     ;41,6864          ;351,1974          ;-11,15764            ;8356,919
        16 ;3554,20385742188 ;1206,86002082825         ;                 9 ;335,9412    ;False             ;907,6458     ;40,35034         ;283,4389          ;-6,906199            ;9504,31
        17 ;4521,2880859375  ;2569,79413948059         ;                 8 ;390,3493    ;False             ;1298,77      ;46,27063         ;410,6975          ;-10,16937            ;19335,29
        18 ;4420,7314453125  ;2062,92984924316         ;                 9 ;367,6541    ;False             ;1339,666     ;55,0531          ;426,3831          ;21,09814             ;22408,32
        19 ;3701,21484375    ;1230,49312324524         ;                 9 ;393,99      ;False             ;1185,279     ;42,78882         ;374,118           ;2,303412             ;21857,81
        20 ;4280,1962890625  ;1438,41269645691         ;                 8 ;390,3493    ;False             ;1075,42      ;41,73315         ;340,5458          ;-20,00529            ;10578,71
        21 ;4240,9580078125  ;1741,99368362427         ;                 9 ;392,2678    ;False             ;1075,459     ;42,23413         ;341,7104          ;-3,628549            ;10971,1
        22 ;3649,06274414063 ;1693,37413063049         ;                 9 ;393,5904    ;False             ;968,6595     ;39,73438         ;304,3544          ;16,74913             ;11548,76
        23 ;4806,1279296875  ;2391,21776065826         ;                 9 ;392,2678    ;False             ;1207,991     ;45,36389         ;386,2556          ;-11,24304            ;11946
        24 ;3648,86743164063 ;1573,84769592285         ;                 9 ;392,2678    ;False             ;1297,262     ;46,30713         ;411,6715          ;-66,68335            ;27982,14
        25 ;4066,50708007813 ;1949,6826789856          ;                 9 ;393,6175    ;False             ;1260,231     ;47,34082         ;398,2747          ;27,08799             ;21952,87
        26 ;4076,89184570313 ;2295,56079711914         ;                 9 ;393,6175    ;False             ;1042,545     ;40,42212         ;331,1528          ;-4,779762            ;10964,73
        27 ;4538,5244140625  ;2692,12352294922         ;                 9 ;393,8492    ;False             ;1119,318     ;39,38208         ;349,7165          ;12,23892             ;10186,79
        28 ;3889,79809570313 ;1685,50777893066         ;                 9 ;393,8492    ;False             ;1380,239     ;49,35962         ;439,3113          ;-32,69381            ;29720,11
        29 ;3511,02734375    ;1431,16368656158         ;                10 ;397,8028    ;False             ;1075,755     ;43,06494         ;339,2717          ;0,8324025            ;18279,65
        30 ;4195,03515625    ;1973,66270904541         ;                 9 ;395,9946    ;False             ;1414,962     ;48,55273         ;451,3931          ;-60,7752             ;28401,74
