Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2291,89086914063;-1102,99715442657;9;398,9827;False;1906,491;46,80215;605,8002;12,238;72006,68
2;6450,75830078125;655,120170783997;9;398,9827;False;1955,475;49,70216;626,5086;27,13871;32867,19
3;3356,75219726563;-1776,78439497948;9;397,1428;False;1775,828;47,52322;566,6432;62,15933;54826,75
4;4883,8984375;-3896,9883644104;9;397,1428;False;1739,31;41,13162;553,4567;-34,71386;37729,36
5;4833,1005859375;-45031,7931243896;9;403,8523;False;1450,704;35,97647;457,8111;27,3986;23800,36
6;4971,478515625;-3463,0736656189;9;393,0292;False;1376,485;39,34378;434,6412;25,01026;18716,43
7;5732,73486328125;771,684339904785;9;403,8523;False;1573,763;38,85559;492,8103;-27,61682;20956,95
8;6097,322265625;1039,6071472168;8;367,5127;False;1983,748;47,54883;630,4007;-3,118396;37846,67
9;7524,83642578125;-5036,1797419548;7;363,4087;False;1823,115;49,26208;573,5531;-46,31286;15543,98
10;4614,05517578125;1101,91006774902;9;394,2596;False;1340,948;34,56091;425,4581;41,18378;20512,6
11;5389,1826171875;-1672,78291110992;8;367,5127;False;1698,781;42,56317;536,8287;-19,9259;30679,73
12;2646,603515625;-2484,08768253326;8;385,73;False;1734,214;40,82855;553,509;9,204638;59858,93
13;5417,40869140625;-2541,11368637085;9;405,2568;False;1778,065;55,20276;571,1147;-53,83586;34323,89
14;4934,724609375;-16017,942855835;8;382,309;False;1865,242;45,99316;593,9802;-6,711198;43532,54
15;4962,900390625;-1795,63576412201;8;382,309;False;1567,698;48,95776;495,7032;12,22073;28373,58
16;7020,60546875;-2008,99211736918;9;376,2826;False;1776,971;48,63;569,6186;-71,64244;18266,21
17;6926,02294921875;1274,85970611572;8;381,8079;False;2076,516;52,43506;664,9144;-6,997505;34183,78
18;4874,3984375;-44535,7250610352;8;375,7644;False;1535,764;42,33582;481,1469;45,01501;27668,43
19;7554,2314453125;-3739,99381866455;8;395,2916;False;1989,959;49,03955;634,0947;-5,414227;23560,34
20;7870,1220703125;35,6571715831757;7;391,7632;False;2035,478;48,73547;644,6817;-10,46719;22680,93
21;5978,6455078125;-4869,71617393494;8;373,3582;False;1734,15;46,96289;542,3762;-6,700662;26547,71
22;4545,630859375;-6340,40210876465;7;365,6932;False;1617,362;42,94238;510,743;25,34805;35046,12
23;4611,8759765625;-5754,77745513916;8;395,2916;False;1493,086;45,08301;472,3383;39,31271;28140,23
24;5037,8232421875;-6323,9242805481;7;371,7367;False;1860,078;40,57764;587,7131;12,62236;42253,93
25;5021,5849609375;-9735,93142700195;7;371,7367;False;1339,706;37,93872;426,7027;29,49448;16397,71
26;5101,62109375;-5568,85364837646;7;371,7367;False;1693,359;54,58472;538,7879;8,534986;33280,02
27;4288,97998046875;-10792,0060192108;7;381,6059;False;1863,67;42,76611;590,3046;-8,869128;49912,11
28;6700,2646484375;-40965,7071777344;8;373,7211;False;2033,421;48,87695;642,8388;-103,6846;34294,7
29;5904,29931640625;-17672,5132781982;7;364,1285;False;1855,281;45,41089;594,0829;-18,71413;33356,93
30;5842,0986328125;-18610,2013336182;7;368,6233;False;1568,868;40,8645;494,2481;64,17472;19653,8
31;4311,24169921875;-42485,3427658081;7;409,4443;False;1458,94;38,44727;461,6526;12,2051;29425,12
