Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1650,00830078125;654,763103980734;10;308,6013;False;3197,442;118,4893;631,3623;141,1862;300578,9
2;1512,73889160156;1176,36449890137;10;316,3329;False;2939,236;147,6102;578,8215;-3,957256;138202,7
3;2387,73168945313;1054,19768553292;10;354,3261;True;4450;241,0521;868,3678;264,3622;4733638
4;2390,12329101563;1606,34877500236;9;340,0345;True;4450;224,0154;875,2493;75,10863;1965541
5;2389,2509765625;1809,0272429049;10;312,3342;True;4450;229,5402;872,0499;212,8042;7191017
6;2390,6669921875;2200,59309692383;10;321,7545;True;4450;214,4652;871,135;219,1743;5203333
7;2394,3974609375;2309,30760498047;10;307,5963;True;4450;174,3679;868,3429;217,526;123551
8;2397,78100585938;2224,60373535156;10;307,5963;True;4450;143,3872;871,1969;243,8932;4208255
9;2394,89501953125;1740,71409301758;10;307,5963;True;4450;165,4673;864,4172;263,4516;3165297
10;2396,40161132813;1657,97310304549;10;307,5963;True;4450;158,1663;872,1834;212,9684;1206315
11;2395,1787109375;2013,27171020508;10;303,6786;True;4450;169,0808;870,8674;184,8704;8938188
12;2395,41772460938;2099,35564575195;10;309,0945;True;4450;156,7117;860,8878;287,8645;3206087
13;2395,31762695313;1816,42975091946;10;303,6786;True;4450;168,5789;871,7561;264,413;308515,6
14;2396,7333984375;1909,7391844176;10;309,0945;True;4450;153,4956;870,8289;206,0595;1854577
15;2395,693359375;1964,7719543457;9;246,4144;True;4450;163,9753;870,9082;240,3039;1643492
16;2397,52099609375;1876,29751122147;9;246,4144;True;4450;151,9885;877,1995;215,2959;2078532
17;2395,6923828125;1939,85393461169;9;246,4144;True;4450;163,8044;870,7279;273,7497;658386,6
18;2396,83642578125;1915,2143737793;9;249,3081;True;4450;148,7656;867,1307;240,1166;1052458
19;2397,07104492188;2173,30888061523;9;249,3081;True;4450;136,02;856,731;328,7112;5564918
20;2398,45654296875;2045,34233618232;9;246,2892;True;4450;142,0093;876,5737;265,6464;654907,3
21;2398,361328125;1913,79944466783;10;246,3506;True;4450;129,5034;863,1177;291,2907;1305514
22;2396,85546875;1930,52125083804;9;248,125;True;4450;144,5586;863,1125;294,2784;3324439
23;2398,24291992188;2143,82731933594;9;248,125;True;4450;134,1045;866,5326;201,5253;445201,2
24;2398,07861328125;2023,06301879883;9;246,2892;True;4450;138,0186;868,8054;286,2137;670673,3
25;2399,005859375;1915,66814117432;9;246,2892;True;4450;132,4609;872,5186;237,9597;3713592
26;2399,60009765625;2073,69323730469;9;244,1135;True;4450;127,4316;873,4315;216,9748;777495,3
27;2398,23999023438;2068,97864930034;8;242,6338;True;4450;125,4478;857,8467;292,651;823009,3
28;2398,46240234375;1974,38609700687;9;246,7112;True;4450;137,7148;872,34;263,8366;252810,6
29;2398,23950195313;2059,82992553711;9;246,2892;True;4450;133,4834;865,8786;150,8735;612338,5
30;2398,228515625;1958,7115169771;9;238,9283;True;4450;138,0796;870,3645;259,7611;1140870
