Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;3476,89697265625 ;1685,87862846255         ;                10 ;345,2671    ;False             ;3476,897     ;130,6563         ;677,7003          ;-4,185202            ;91811,66
         2 ;4450             ;2599,67071533203         ;                10 ;345,2671    ;True              ;4450         ;175,3816         ;840,6365          ;104,4138             ;3102960
         3 ;4450             ;3069,41995239258         ;                10 ;299,3414    ;True              ;4450         ;224,2152         ;850,8679          ;55,47005             ;694334
         4 ;4450             ;2941,79532280266         ;                10 ;299,3414    ;True              ;4450         ;225,085          ;846,3515          ;60,59117             ;668768,7
         5 ;4450             ;3410,69895938635         ;                10 ;299,3414    ;True              ;4450         ;225,4906         ;849,6758          ;69,39647             ;2592201
         6 ;4450             ;3234,94025633931         ;                10 ;295,2589    ;True              ;4450         ;237,9703         ;839,0056          ;76,67669             ;238332,6
         7 ;4450             ;3167,11420406103         ;                10 ;295,2589    ;True              ;4450         ;230,8905         ;828,2158          ;34,15907             ;663379,9
         8 ;4450             ;3470,71358642578         ;                10 ;295,2589    ;True              ;4450         ;229,3007         ;836,1253          ;45,39666             ;644365,8
         9 ;4450             ;3627,31837768555         ;                10 ;295,2589    ;True              ;4450         ;228,5464         ;821,8061          ;30,14876             ;186098,9
        10 ;4450             ;3450,93307495117         ;                10 ;319,8924    ;True              ;4450         ;199,2441         ;851,5179          ;14,1775              ;3671900
        11 ;4450             ;3426,89729003906         ;                10 ;321,8948    ;True              ;4450         ;197,7            ;813,6913          ;67,30379             ;143927,6
        12 ;4450             ;3446,57376708984         ;                10 ;321,8948    ;True              ;4450         ;195,4138         ;819,8264          ;36,93402             ;582649,3
        13 ;4450             ;3405,19326698482         ;                10 ;334,4091    ;True              ;4450         ;215,3726         ;846,9196          ;81,4748              ;986160,9
        14 ;4450             ;3600,92363891602         ;                10 ;334,4091    ;True              ;4450         ;218,7021         ;850,5762          ;25,46822             ;75519,09
        15 ;4450             ;3415,97660522461         ;                10 ;334,4091    ;True              ;4450         ;219,2117         ;850,609           ;65,07592             ;984082,5
        16 ;4450             ;3853,46195499897         ;                10 ;334,4091    ;True              ;4450         ;214,2603         ;833,3105          ;86,24643             ;458585,1
        17 ;4450             ;3770,19075651169         ;                10 ;334,4091    ;True              ;4450         ;214,8574         ;829,6967          ;55,59143             ;305053
        18 ;4450             ;3986,30007324219         ;                10 ;334,4091    ;True              ;4450         ;217,4941         ;822,9918          ;75,42001             ;4707068
        19 ;4450             ;3607,4455078125          ;                10 ;334,4091    ;True              ;4450         ;218,6665         ;832,0492          ;60,40329             ;4149341
        20 ;4450             ;4020,95614318848         ;                10 ;334,4091    ;True              ;4450         ;217,1196         ;838,3591          ;54,28436             ;4669115
        21 ;4450             ;4070,26126098633         ;                10 ;334,4091    ;True              ;4450         ;212,5864         ;832,854           ;61,30633             ;5111736
        22 ;4450             ;4231,40362548828         ;                10 ;334,4091    ;True              ;4450         ;215,2344         ;830,8141          ;73,11685             ;1411991
        23 ;4450             ;3872,4109375             ;                10 ;334,4091    ;True              ;4450         ;215,375          ;827,8932          ;86,63429             ;1051467
        24 ;4450             ;3866,87896585464         ;                10 ;334,4091    ;True              ;4450         ;215,356          ;825,3648          ;87,85178             ;643726,7
        25 ;4450             ;3754,57918701172         ;                10 ;334,4091    ;True              ;4450         ;215,9233         ;824,7931          ;73,38847             ;665981,6
        26 ;4450             ;4080,35034179688         ;                10 ;334,4091    ;True              ;4450         ;215,1943         ;823,7524          ;76,66745             ;78851,58
        27 ;4450             ;3593,342578125           ;                10 ;334,4091    ;True              ;4450         ;213,7881         ;830,0052          ;63,9464              ;476760,4
        28 ;4450             ;3683,07952381969         ;                10 ;334,4091    ;True              ;4450         ;216,5103         ;837,9459          ;84,82788             ;173463,6
        29 ;4450             ;3625,51567398012         ;                10 ;390,8233    ;True              ;4450         ;208,5571         ;829,1556          ;73,28442             ;1667067
        30 ;4450             ;3791,64045410156         ;                10 ;390,8233    ;True              ;4450         ;199,3687         ;814,6225          ;45,61873             ;1123011
