Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2422,5908203125;827,400752305984;9;336,4299;False;2422,591;103,2771;471,3882;-7,947989;48924,35
2;4393,35595703125;1918,29684238434;8;324,5517;False;4393,356;250,1319;843,3917;40,23249;71626,41
3;4257,53662109375;1729,84592421353;8;324,5517;False;4257,537;250,7625;813,4246;18,58433;37328,21
4;4450;2846,62186853886;9;349,3192;True;4450;216,435;842,5334;62,36915;4268954
5;4450;3113,45063396692;8;329,5714;True;4450;195,3677;844,5181;61,88383;1984635
6;4450;2951,67487428188;8;329,5714;True;4450;192,5477;854,5396;79,18083;1837253
7;4450;2744,07587580681;8;329,5714;True;4450;191,7958;833,1283;86,31268;3871720
8;4450;3610,71020919681;8;329,5714;True;4450;210,918;824,1352;59,73409;3776231
9;4450;2998,36545454562;8;329,5714;True;4450;192,3286;838,5907;101,2783;682172,5
10;4450;3525,60401926041;8;329,5714;True;4450;204,8809;822,8001;52,32211;3867744
11;4450;3567,95740895271;8;329,5714;True;4450;196,7168;836,9556;71,30032;488527,2
12;4450;3993,10933227539;8;329,5714;True;4450;195,4961;843,2169;65,73952;3763083
13;4450;3985,70223526955;8;329,5714;True;4450;194,7637;824,2727;61,76229;3765432
14;4450;4121,49779052734;8;329,5714;True;4450;198,0256;835,0676;80,58445;4510542
15;4450;3399,68878198564;8;293,1919;True;4450;189,3845;845,657;77,29681;4224403
16;4450;3877,43822021484;8;293,1919;True;4450;191,7656;833,7858;69,9549;3932148
17;4450;3504,7857819736;8;293,1919;True;4450;191,6689;836,4442;75,54801;4042260
18;4450;3374,09801101685;8;293,1919;True;4450;192,3535;834,3256;86,74818;3891655
19;4450;3810,80952005386;8;293,1919;True;4450;192,127;835,0865;50,05029;3944255
20;4450;3887,57288338244;8;293,1919;True;4450;191,2852;837,7486;77,3543;4011290
21;4450;3974,72966308594;8;293,1919;True;4450;198,8735;827,9541;69,95595;4223687
22;4450;3937,96416015625;8;293,1919;True;4450;189,9746;843,0276;68,49363;4172421
23;4450;3833,15932006836;8;293,1919;True;4450;191,1787;837,7661;60,55989;3924775
24;4450;4118,41441650391;8;293,1919;True;4450;192,4219;835,8222;80,67204;3811602
25;4450;4190,0096862793;8;293,1919;True;4450;189,895;820,6514;69,37634;3688937
26;4450;4210,02510375977;8;293,1919;True;4450;190,79;818,5777;52,84543;3880247
27;4450;4301,6509765625;8;293,1919;True;4450;188,4556;782,0681;30,68358;3938276
28;4450;3948,53842773438;8;293,1919;True;4450;190,6997;819,8032;72,42365;3965707
29;4450;3868,53356468678;8;293,1919;True;4450;189,2046;823,6711;23,58285;3939896
30;4450;3972,09790039063;8;293,1919;True;4450;188,7134;826,7191;73,30413;4428311
