Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;3186,92944335938;970,525311383326;9;347,3594;False;3205,912;119,3885;629,5453;13,08221;189826,2
2;3581,63818359375;1655,57304093745;9;347,3594;False;3601,724;143,0493;709,5457;-184,5686;200855,5
3;5390,98828125;3252,07876169473;9;347,3594;True;4450;186,0862;859,6405;208,4168;590119,1
4;5248,921875;2896,10726055801;9;344,5897;True;4450;173,7855;870,7437;232,4268;2010781
5;5270,9921875;3045,24151947899;9;344,5897;True;4450;185,2194;867,3866;346,2293;1790077
6;5359,7841796875;3349,94432092812;9;347,3594;True;4450;179,2113;869,4266;197,9872;902156,1
7;5416,6181640625;3898,65196444988;9;347,3594;True;4450;192,1486;878,5489;104,0015;333820,3
8;5297,1552734375;3581,47743956149;9;345,0683;True;4450;177,1603;878,6822;295,3935;1528447
9;5183,875;3502,19872579053;9;336,3065;True;4450;185,6526;869,1862;296,8372;2661252
10;5285,9423828125;3983,42052612305;10;332,8766;True;4450;230,5691;871,2524;236,9762;1640577
11;5161,91162109375;4287,6586607106;10;347,0475;True;4450;221,9141;865,7941;221,4522;2880886
12;5373,98095703125;4670,91519775391;10;341,4497;True;4450;224,3357;873,0391;210,1644;760190,8
13;5411,58935546875;4476,29334106445;10;341,4497;True;4450;222,3062;864,8776;201,1892;384108,6
14;5387,96044921875;4630,09587402344;10;341,4497;True;4450;227,1689;865,9092;237,375;620395,4
15;5385,67333984375;4691,08728027344;10;341,4497;True;4450;243,6885;863,0502;172,4696;643265,9
16;5397,638671875;3845,84902648926;10;341,4497;True;4450;239,771;872,5989;181,2404;523614,6
17;5412,609375;4555,84896068573;10;340,4487;True;4450;223,0908;862,3367;153,2543;373907,4
18;5425,93017578125;4758,61953125;10;340,4487;True;4450;223,8149;873,7072;197,2188;240696,5
19;5425,35693359375;4191,08031005859;10;341,4497;True;4450;227,1299;865,9371;201,1691;246428,4
20;5432,63232421875;4494,95672607422;10;337,7245;True;4450;232,1641;865,9277;194,9676;173676,5
21;5433,091796875;4547,47737426758;10;341,4497;True;4450;227,3486;865,2379;188,7088;169081,7
22;5426,234375;5057,66850585937;10;341,4497;True;4450;229,1274;874,1581;183,6001;237655,3
23;5436,17236328125;4897,98109130859;10;340,4157;True;4450;227,7983;863,141;199,1163;138274,9
24;5436,2060546875;4399,58776855469;10;340,4487;True;4450;228,3569;875,2069;155,4532;137940,4
25;5426,9013671875;4463,64348144531;10;340,4487;True;4450;227,9443;863,5114;162,9728;230984,7
26;5434,26318359375;4775,29290161133;10;340,4487;True;4450;226,2759;867,7334;174,4672;157368,9
27;5432,41015625;4142,33093261719;10;340,4487;True;4450;229,439;871,6756;129,0714;175899,1
28;5434,30224609375;4432,38922119141;10;340,4487;True;4450;228,7441;860,2533;155,8878;156975,8
29;5441,50537109375;4985,5539855957;10;335,9305;True;4450;226,8433;863,9465;192,6022;84945,2
30;5437,234375;4114,93580932617;10;340,4487;True;4450;227,98;862,6867;155,8354;127655,8
