Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;3557,2021484375  ;1451,23422763348         ;                 9 ;349,996     ;False             ;3730,151     ;172,9486         ;723,5687          ;88,3512              ;108596,6
         2 ;4259,65087890625 ;2102,1348957777          ;                10 ;343,3244    ;True              ;4450         ;190,3489         ;862,3427          ;56,09858             ;1423774
         3 ;4280,26708984375 ;2511,36817340851         ;                10 ;335,6207    ;True              ;4450         ;169,7329         ;848,35            ;66,7231              ;999901,9
         4 ;4264,681640625   ;2679,54061279297         ;                10 ;343,3244    ;True              ;4450         ;185,3183         ;863,1722          ;58,89299             ;1271583
         5 ;4260,57470703125 ;2324,62569451928         ;                10 ;335,6207    ;True              ;4450         ;189,4255         ;849,7209          ;87,52615             ;750944,3
         6 ;4264,5283203125  ;3025,97831420898         ;                10 ;343,3244    ;True              ;4450         ;185,4717         ;840,7064          ;70,14008             ;1033780
         7 ;4279,22509765625 ;3475,48926391602         ;                10 ;335,2295    ;True              ;4450         ;170,775          ;836,4156          ;60,8889              ;2852578
         8 ;4275,1181640625  ;3417,46229481697         ;                10 ;335,2295    ;True              ;4450         ;174,8817         ;815,25            ;40,91926             ;1015438
         9 ;4283,0888671875  ;3961,02360839844         ;                10 ;336,2154    ;True              ;4450         ;166,9113         ;830,2916          ;59,75653             ;1390325
        10 ;4278,498046875   ;3780,74452600479         ;                10 ;365,2534    ;True              ;4450         ;171,5017         ;836,754           ;45,46652             ;1361410
        11 ;4281,30908203125 ;3871,47033691406         ;                10 ;368,7886    ;True              ;4450         ;168,6909         ;842,3156          ;57,35262             ;946951,3
        12 ;4275,31640625    ;3934,21470668316         ;                10 ;351,0532    ;True              ;4450         ;174,6836         ;843,356           ;67,91331             ;1598851
        13 ;4277,2021484375  ;3383,86241283417         ;                10 ;351,0532    ;True              ;4450         ;172,7981         ;849,09            ;69,4449              ;1766247
        14 ;4288,3818359375  ;3724,43063354492         ;                10 ;348,2139    ;True              ;4450         ;161,6179         ;815,277           ;43,351               ;706996,5
        15 ;4279,61328125    ;3857,3129699707          ;                10 ;348,2139    ;True              ;4450         ;170,387          ;811,7974          ;66,2583              ;1777160
        16 ;4285,72998046875 ;3554,8411601305          ;                10 ;348,2139    ;True              ;4450         ;164,27           ;811,5209          ;50,7393              ;653932,2
        17 ;4283,4677734375  ;3765,67426757813         ;                10 ;348,2139    ;True              ;4450         ;166,532          ;828,8435          ;32,68433             ;4350163
        18 ;4282,4013671875  ;3317,98949737549         ;                10 ;326,9913    ;True              ;4450         ;167,5986         ;842,8879          ;39,54898             ;873777,2
        19 ;4291,0849609375  ;3588,38022794724         ;                10 ;348,2139    ;True              ;4450         ;158,915          ;813,8643          ;55,26143             ;972415,7
        20 ;4299,24951171875 ;3667,92531738281         ;                10 ;357,2558    ;True              ;4450         ;150,7505         ;826,9818          ;55,87509             ;3204796
        21 ;4291,0244140625  ;3552,01427612305         ;                10 ;357,2558    ;True              ;4450         ;158,9756         ;840,8192          ;46,60434             ;1360727
        22 ;4286,75927734375 ;3772,12160644531         ;                10 ;348,2139    ;True              ;4450         ;163,2407         ;839,2877          ;63,36025             ;1346358
        23 ;4292,2060546875  ;3785,99926757813         ;                10 ;348,2139    ;True              ;4450         ;157,7939         ;826,3015          ;28,03597             ;761688,2
        24 ;4290,068359375   ;3730,03450927734         ;                10 ;358,0041    ;True              ;4450         ;159,9316         ;809,2933          ;28,85378             ;1277183
        25 ;4284,94482421875 ;3746,37515187263         ;                10 ;358,0041    ;True              ;4450         ;165,0552         ;817,2416          ;39,68719             ;1204080
        26 ;4287,71630859375 ;4025,59509277344         ;                10 ;358,0041    ;True              ;4450         ;162,2837         ;814,6403          ;26,15376             ;568746,1
        27 ;4288,8193359375  ;3782,30621337891         ;                 9 ;345,6891    ;True              ;4450         ;161,1807         ;821,4836          ;45,27994             ;520000,8
        28 ;4291,1103515625  ;3327,48087768555         ;                10 ;358,0041    ;True              ;4450         ;158,8896         ;809,7178          ;45,18217             ;390565,1
        29 ;4296,10546875    ;3932,912109375           ;                 9 ;345,6891    ;True              ;4450         ;153,8945         ;810,9468          ;45,25268             ;615364,4
        30 ;4292,884765625   ;3771,00200538635         ;                 9 ;345,6891    ;True              ;4450         ;157,1152         ;821,1913          ;38,16105             ;963295,3
