Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;4207,1640625;1262,31041373014;10;315,8399;False;4397,409;190,2452;852,7195;-99,28301;92697,74
2;4267,7587890625;2369,83995904922;10;339,6186;True;4450;182,2411;850,1794;67,82705;965322,1
3;4276,4560546875;3283,29986572266;10;315,8399;True;4450;173,5438;848,5318;75,92724;3556151
4;4282,48828125;3660,83602294922;10;319,6724;True;4450;167,5117;850,9611;50,64472;1833454
5;4270,01318359375;2904,64885253906;10;319,6028;True;4450;179,9868;842,3875;39,68568;7820897
6;4291,86279296875;3514,76700439453;10;315,5481;True;4450;158,1372;848,0474;44,80781;7889296
7;4285,978515625;3246,43067626953;10;323,8221;True;4450;164,0217;841,286;73,33373;2911339
8;4290,26171875;3408,14332275391;10;323,8221;True;4450;159,738;838,8884;72,39529;3248122
9;4285,20947265625;3270,7723112464;10;315,5481;True;4450;164,7904;842,1382;35,36607;898288,3
10;4282,15576171875;3298,9866027832;10;329,7481;True;4450;167,8442;847,3969;44,85817;2308244
11;4290,8779296875;3365,01758422852;10;315,5481;True;4450;159,1218;838,3185;73,12117;2024586
12;4291,02978515625;3551,97327880859;10;315,8399;True;4450;158,9702;847,4426;17,31675;3351604
13;4283,76171875;3056,92076368332;10;315,5481;True;4450;166,238;835,7336;43,48494;1712702
14;4280,5498046875;3455,85335083008;10;315,5481;True;4450;169,4504;842,2783;35,08645;372014,8
15;4282,69384765625;3448,30824584961;10;315,5481;True;4450;167,3062;834,5193;57,89998;1,124431E+07
16;4285,36328125;3589,74440307617;10;310,4624;True;4450;164,6365;852,6483;73,40726;5525258
17;4293,1044921875;3502,53016357422;10;318,7495;True;4450;156,8958;851,1147;86,45222;5988039
18;4278,546875;3612,01403808594;10;315,5481;True;4450;171,4534;829,3332;64,60805;3114713
19;4294,7451171875;3439,04796142578;10;305,2698;True;4450;155,2549;839,8315;56,47069;4523362
20;4298,3330078125;3542,66827392578;10;315,5481;True;4450;151,667;821,2809;37,41787;3082009
21;4289,33203125;3398,19301757812;10;305,2698;True;4450;160,668;834,1054;78,95619;2975794
22;4286,6787109375;3300,27933959961;10;305,2698;True;4450;163,3213;841,6652;71,53989;3671864
23;4291,07177734375;3536,90336914062;10;312,5441;True;4450;158,9282;837,0297;30,57353;3042662
24;4290,0732421875;3462,87532029152;10;305,2698;True;4450;159,9268;839,8439;131,3383;1328054
25;4289,4375;3901,86831054687;10;307,7537;True;4450;160,5625;856,7252;81,24053;1105427
26;4286,26025390625;3955,21921386719;10;321,1962;True;4450;163,7397;843,7177;87,70975;2620924
27;4285,3662109375;3502,52166748047;10;321,1962;True;4450;164,6338;841,6722;149,0675;926265,9
28;4286,0888671875;3478,335546875;10;310,3906;True;4450;163,9111;838,8016;34,06906;3018134
29;4291,00634765625;3712,49656982422;10;310,3906;True;4450;158,9937;836,7918;32,95412;3315713
30;4285,35205078125;3712,02591552734;10;310,3906;True;4450;164,6479;859,1968;84,46427;4147523
