Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;3859,39965820313;1587,78777239546;10;327,4547;True;4450;222,9697;861,5267;189,357;5906004
2;4245,02685546875;2079,40522878338;10;327,4547;False;4266,977;217,7287;830,2075;-91,0366;219502,3
3;3993,05981445313;2767,35607910156;10;322,5219;False;4008,466;214,1954;784,3973;-68,19115;154059,7
4;3982,328125;2745,41871337891;10;322,5219;True;4450;232,7013;861,2992;117,7336;4676720
5;4012,33569335938;3078,89606933594;10;322,5219;True;4450;227,9379;858,5303;80,81644;4376643
6;4113,30224609375;3392,92340087891;10;322,5219;True;4450;226,7251;843,4449;68,14309;3366976
7;4108,6669921875;3653,47768554687;9;341,2027;True;4450;240,1445;849,3809;61,95747;3413331
8;4382,40625;3697,19427490234;10;373,934;True;4450;227,9677;856,936;129,7073;675938,4
9;4089,67211914063;3257,13057861328;9;336,4595;True;4450;226,333;863,6572;99,32771;3603280
10;4176,68408203125;3268,54492277503;10;373,934;True;4450;237,53;863,6784;112,2732;2733162
11;4413,79931640625;3308,1695201505;9;374,6965;False;4435,795;250,793;850,5994;109,6579;219956,4
12;4428,53955078125;3373,27786560059;9;374,6965;False;4438,548;250,459;851,4272;82,27417;100084,6
13;4416,216796875;3445,35541992188;10;384,8692;False;4430,272;250,3325;858,0601;100,6569;140557,7
14;4381,30322265625;3324,32911978215;10;385,1779;False;4405,675;250,0823;844,8306;120,6566;243722,6
15;4420,1328125;3333,74208984375;10;385,1779;False;4430,633;250,9148;847,438;125,4607;105004,9
16;4420,859375;3266,01208468303;10;401,8654;False;4441,975;250,7764;851,4078;110,0354;211153,7
17;4414,1298828125;3210,21793060303;10;370,3842;False;4426,888;250,7866;864,137;38,71187;127581
18;4421,9326171875;3142,96210319288;9;368,0299;False;4433,631;250,7993;851,0483;129,6664;116982,7
19;4405,19091796875;3556,10501708984;9;361,3842;False;4418,177;246,2061;862,278;16,49538;129861,3
20;4391,5068359375;3773,41845703125;9;368,0299;False;4403,855;250,1299;844,7277;100,6622;123481
21;4408,00048828125;3572,98963012695;9;393,6263;False;4426,775;250,0195;866,7695;70,24786;187749,1
22;4387,3203125;3702,25823974609;9;368,0299;False;4408,2;250,2261;845,0908;68,63757;208793
23;4417,712890625;2945,61900110245;9;368,0299;False;4438,709;250,5986;867,9553;103,7275;209959,5
24;4421,33349609375;3287,96359684914;9;368,0299;False;4437,855;251,0171;865,995;51,75591;165212,8
25;4409,65673828125;3141,10939025879;9;393,6263;False;4425,878;250,8496;846,9096;7,179842;162214,8
26;4427,3974609375;3371,68301353455;9;393,6263;False;4442,215;250,8867;853,3074;162,1971;148173,7
27;4405,361328125;3420,83202766664;9;393,6263;False;4426,243;250,6416;848,8517;91,04585;208820,5
28;4415,27001953125;3780,33933105469;9;362,4017;False;4426,832;250,5605;848,3623;44,02296;115619,4
29;4366,36669921875;3160,65236837417;9;368,9646;True;4450;245,8179;845,7133;41,41964;836331
30;4406,14453125;3663,20478515625;9;393,6263;False;4420,686;250,2974;846,5616;23,5285;145409,7
