Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;2812,34448242188 ;1033,84993047002         ;                 9 ;317,854     ;False             ;2820,716     ;115,9695         ;557,2125          ;-4,355674            ;83714,09
         2 ;5129,302734375   ;2268,35884432644         ;                 9 ;317,854     ;True              ;4450         ;206,6087         ;861,611           ;59,53381             ;3206973
         3 ;4208,14404296875 ;2594,9774061203          ;                10 ;369,9933    ;False             ;4262,107     ;250,648          ;833,6955          ;79,36254             ;539627
         4 ;5241,46630859375 ;3312,82819199562         ;                10 ;369,9933    ;True              ;4450         ;239,0551         ;861,6503          ;8,669827             ;2085336
         5 ;4888,298828125   ;3412,84405180551         ;                10 ;399,9224    ;True              ;4450         ;166,8325         ;857,7557          ;146,7188             ;5617014
         6 ;5047,7734375     ;3460,19642283842         ;                10 ;365,2461    ;True              ;4450         ;184,0663         ;868,5704          ;59,97744             ;4022265
         7 ;5301,45947265625 ;3541,97017679214         ;                10 ;367,9822    ;True              ;4450         ;192,2379         ;858,9661          ;176,7254             ;1485405
         8 ;5393,81884765625 ;3600,09325795621         ;                10 ;372,2874    ;True              ;4450         ;185,2015         ;863,7925          ;-66,44897            ;561810,8
         9 ;5414,28662109375 ;3227,1718214035          ;                10 ;372,2874    ;True              ;4450         ;180,4292         ;853,6956          ;196,7782             ;357135,3
        10 ;5385,8349609375  ;3581,90828723907         ;                10 ;372,2874    ;True              ;4450         ;166,6057         ;860,9313          ;188,7316             ;641651,5
        11 ;5016,0390625     ;3740,14215087891         ;                10 ;372,2874    ;True              ;4450         ;190,2539         ;862,9653          ;38,6758              ;4339613
        12 ;5403,6728515625  ;3701,34476318359         ;                10 ;390,6682    ;True              ;4450         ;182,9744         ;857,4883          ;145,36               ;463269,8
        13 ;5426,583984375   ;4334,05827026367         ;                10 ;362,0498    ;True              ;4450         ;167,7661         ;847,6032          ;37,71826             ;234159,2
        14 ;5359,8466796875  ;4157,17568359375         ;                10 ;362,0498    ;True              ;4450         ;169,5969         ;839,7809          ;88,68761             ;901531,2
        15 ;5424,2822265625  ;3930,71860961914         ;                10 ;362,0498    ;True              ;4450         ;175,1416         ;860,8109          ;70,12288             ;257178,6
        16 ;5422,00048828125 ;4202,50970458984         ;                10 ;363,7885    ;True              ;4450         ;229,6809         ;849,033           ;-2,248886            ;279995,6
        17 ;5428,541015625   ;4183,74020996094         ;                10 ;338,622     ;True              ;4450         ;156,7681         ;849,6837          ;182,4372             ;214588,5
        18 ;5367,68603515625 ;4100,66320800781         ;                10 ;392,298     ;True              ;4450         ;224,502          ;849,2507          ;21,17121             ;823137,4
        19 ;5437,15771484375 ;3977,85795898437         ;                10 ;341,8098    ;True              ;4450         ;161,3076         ;857,6176          ;147,9827             ;128422,8
        20 ;5427,01904296875 ;4200,23986816406         ;                10 ;341,8098    ;True              ;4450         ;173,8794         ;847,4573          ;143,1722             ;229809,9
        21 ;5412,302734375   ;3622,62485370636         ;                10 ;405,8797    ;True              ;4450         ;138,6987         ;836,8146          ;93,67071             ;376972,2
        22 ;5340,59033203125 ;4183,94951171875         ;                10 ;331,4182    ;True              ;4450         ;197,186          ;856,4674          ;139,0081             ;1094095
        23 ;5343,88916015625 ;3726,67979736328         ;                10 ;347,0195    ;True              ;4450         ;153,4639         ;840,5595          ;50,34067             ;1061107
        24 ;5433,61328125    ;4085,68438720703         ;                10 ;405,8797    ;True              ;4450         ;145,6445         ;858,332           ;63,34019             ;163865,8
        25 ;5422,00537109375 ;3760,31561279297         ;                10 ;340,4195    ;True              ;4450         ;147,3564         ;846,6728          ;183,2522             ;279944,8
        26 ;5406,783203125   ;4343,85568847656         ;                10 ;334,5154    ;True              ;4450         ;179,978          ;836,3986          ;92,14945             ;432169,8
        27 ;5412,15771484375 ;3651,94057026841         ;                10 ;346,5648    ;True              ;4450         ;203,8213         ;856,2405          ;8,732607             ;378422,1
        28 ;5374,052734375   ;4062,44362792969         ;                10 ;340,4195    ;True              ;4450         ;138,4849         ;839,5862          ;166,5533             ;759471,8
        29 ;5431,56005859375 ;4047,16447086483         ;                10 ;345,1047    ;True              ;4450         ;145,6904         ;855,9589          ;83,3092              ;184401,6
        30 ;5442,66015625    ;4283,61307853013         ;                10 ;345,1047    ;True              ;4450         ;142,2764         ;848,8884          ;167,4351             ;73397,31
