Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1153,43701171875;216,352487509184;9;394,7166;False;2192,765;136,9622;707,507;51,48674;325087,2
2;986,474182128906;652,109421092737;9;394,7166;False;1877,107;106,7719;585,9803;-98,3064;125111,8
3;1271,97058105469;555,600422307849;9;414,6782;False;2423,718;169,5352;770,6508;-67,95717;348951
4;1399,04858398438;627,532869887148;9;392,8726;False;2652,683;105,6063;832,6772;-56,82391;101766,7
5;1552,28698730469;703,531353056943;9;427,7493;True;2760;126,7486;849,6182;145,2004;7445361
6;1329,67797851563;697,188008204848;9;427,7493;False;2527,452;134,2584;793,776;-37,58759;223590,8
7;1160,84020996094;697,138522434607;9;427,7493;False;2203,168;90,17853;682,7397;-54,55153;70359,52
8;1334,53857421875;860,244249559566;9;375,0169;False;2531,223;96,28687;785,5596;-58,075;41151,45
9;1553,16882324219;952,265722933412;10;410,5853;True;2760;99,87952;831,5682;52,84866;4237277
10;1554,18054199219;1008,98090370186;9;405,4426;True;2760;101,6296;843,4348;63,56332;4796098
11;1555,20397949219;1063,97395019531;9;405,4426;True;2760;98,56885;850,6091;56,34322;2989499
12;1554,46838378906;1053,70464739404;10;410,5853;True;2760;93,11963;837,804;54,25078;3076642
13;1554,77575683594;1342,36511755437;9;399,8903;True;2760;96,53528;844,2924;72,95811;5179145
14;1555,37487792969;1434,65685119629;10;410,5853;True;2760;89,85291;843,6021;80,71327;4131410
15;1554,79504394531;1355,53647181988;9;408,6027;True;2760;90,72058;838,6712;103,4754;6555151
16;1553,64343261719;1295,76648809463;9;405,4426;True;2760;94,65039;831,0845;60,1703;9326771
17;1557,30529785156;1004,05223275125;9;405,4426;True;2760;93,78394;866,8375;76,43887;3261591
18;1556,748046875;1199,3565632301;9;399,8903;True;2760;99,69019;867,1702;79,57756;4409578
19;1557,47961425781;1185,10061927633;9;399,6192;True;2760;96,52051;871,3167;119,7579;689840,8
20;1555,92395019531;1356,81680297852;9;402,4366;True;2760;98,13916;857,3782;79,20577;1,031154E+07
21;1557,70568847656;1268,70504891574;9;403,1939;True;2760;90,29346;867,3505;127,1101;6585259
22;1555,35302734375;1168,34498258829;9;405,972;True;2760;98,30469;851,8351;140,9299;8284694
23;1556,84912109375;1287,743609621;9;400,0228;True;2760;96,71826;865,2089;111,3729;3621251
24;1557,40502929688;1257,6876394324;9;414,9554;True;2760;96,81592;870,8668;112,3005;7056929
25;1556,56860351563;1006,72489750175;9;421,2496;True;2760;105,4358;871,1212;103,0166;4957108
26;1556,99816894531;1361,19415339306;9;414,9554;True;2760;90,9104;860,8919;106,4481;438205,8
27;1557,32263183594;1209,57588732736;9;431,6996;True;2760;99,44409;872,6701;77,23205;8423683
28;1557,12670898438;1328,89220566349;9;406,955;True;2760;93,87817;865,1452;110,3533;2674548
29;1557,34362792969;1197,41056542117;9;414,5657;True;2760;90,93604;864,3727;102,0109;1,069981E+07
30;1556,73974609375;1250,73756089956;10;413,2538;True;2760;94,21582;861,6135;69,36646;2384755
