Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2760;729,866744279861;10;326,3087;True;2760;123,1232;878,3297;161,2373;2277086
2;2760;1507,91653371453;10;355,7911;True;2760;114,2385;880,6979;49,33766;1440071
3;2760;2121,62016804218;10;355,7911;True;2760;106,5874;869,5668;130,0786;4475512
4;2760;2493,63304443359;10;355,7911;True;2760;94,08469;863,2682;122,168;3247965
5;2760;2265,86578006744;10;355,7911;True;2760;102,1744;850,4939;191,7749;6320936
6;2760;2459,259375;10;348,9431;True;2760;101,9684;876,2426;133,5171;5639753
7;2760;2364,15750732422;10;344,593;True;2760;94,56207;860,3997;114,348;1,706051E+07
8;2760;2329,04627685547;10;344,593;True;2760;100,9214;862,4323;87,3416;1462346
9;2760;2522,78082275391;10;355,7911;True;2760;88,28931;851,348;124,7093;5398609
10;2760;2514,99985961914;10;370,1524;True;2760;106,0656;860,5865;176,0094;6961175
11;2760;2414,65880126953;10;338,6705;True;2760;87,43384;847,2759;97,32008;7564616
12;2760;2451,68824968934;10;338,6705;True;2760;87,13293;871,8978;142,7112;1,252858E+07
13;2760;2543,70924072266;10;338,6705;True;2760;85,96252;855,3412;96,69072;1,167938E+07
14;2760;2405,8844543457;10;338,6705;True;2760;88,5282;862,8456;114,0021;4405558
15;2760;2416,12096996307;10;338,6705;True;2760;76,80811;853,5268;128,4871;7462488
16;2760;2563,49537353516;10;338,6705;True;2760;79,2688;856,5281;158,5374;7142119
17;2760;2464,25319645405;10;338,6705;True;2760;89,75684;867,6003;3,440689;7400994
18;2760;2715,78012084961;10;338,6705;True;2760;96,08765;872,5583;138,9898;1071116
19;2760;2497,47869873047;10;338,6705;True;2760;95,89575;874,7576;158,3647;3282659
20;2760;2586,74076538086;10;338,6705;True;2760;94,00391;866,4856;48,16611;3169828
21;2760;2436,20736740231;10;338,6705;True;2760;89,30273;864,1503;29,72455;2694191
22;2760;2560,11644154191;10;338,6705;True;2760;90,12769;868,3359;107,8191;3419806
23;2760;2579,21806030273;10;338,6705;True;2760;79,63501;845,4226;140,2453;5787776
24;2760;2256,37881378829;10;338,6705;True;2760;81,94629;862,0898;108,4282;2280064
25;2760;2505,69718017578;10;338,6705;True;2760;65,39722;868,7944;125,0201;4684868
26;2760;2591,47084350586;10;338,6705;True;2760;85,09937;864,6244;170,3992;6541466
27;2760;2386,56120989323;10;338,6705;True;2760;86,97827;874,753;124,7487;8472716
28;2760;2638,22421875;10;338,6705;True;2760;65,94141;864,4631;130,4296;1177614
29;2760;2515,08240356445;10;338,6705;True;2760;67,87158;871,6666;130,513;2979019
30;2760;2464,44917289913;10;331,9932;True;2760;87,55127;873,1384;148,4287;3924755
