Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;2537,83813476563 ;863,432990787737         ;                 9 ;277,9384    ;False             ;2542,133     ;163,3952         ;770,9053          ;0,1807625            ;42944,65
         2 ;3400,7353515625  ;1719,86881265938         ;                 9 ;402,4731    ;True              ;2760         ;105,0959         ;829,9086          ;17,59149             ;3592647
         3 ;3603,56298828125 ;2025,56515428433         ;                 9 ;402,9579    ;True              ;2760         ;111,8703         ;825,8467          ;34,27941             ;1564371
         4 ;3642,64038085938 ;2621,89681396484         ;                 9 ;402,9579    ;True              ;2760         ;102,1359         ;858,3648          ;31,61961             ;1173597
         5 ;3610,04760742188 ;2194,72410173304         ;                 9 ;402,9579    ;True              ;2760         ;113,9336         ;839,41            ;31,13533             ;1499523
         6 ;3747,29467773438 ;2302,46742838351         ;                 9 ;402,9579    ;True              ;2760         ;93,97809         ;868,0143          ;27,90814             ;127053,3
         7 ;3513,9541015625  ;2100,54199453592         ;                 9 ;373,7896    ;True              ;2760         ;109,3779         ;814,2968          ;67,07542             ;2460459
         8 ;3715,67431640625 ;2262,99086716836         ;                10 ;407,691     ;True              ;2760         ;121,0182         ;827,2766          ;31,61007             ;443255,8
         9 ;3689,23486328125 ;2506,42580224276         ;                10 ;407,691     ;True              ;2760         ;103,9054         ;858,9836          ;24,04237             ;707650,4
        10 ;3712,1396484375  ;2209,08715594658         ;                 9 ;371,4771    ;True              ;2760         ;119,0826         ;868,5434          ;30,63413             ;478603,7
        11 ;3370,61743164063 ;2005,56512610912         ;                 9 ;399,6567    ;True              ;2760         ;149,3853         ;838,2758          ;4,4077               ;3893827
        12 ;3646,92016601563 ;2363,99897007942         ;                 9 ;374,4888    ;True              ;2760         ;92,06885         ;856,9514          ;33,27772             ;1130799
        13 ;3589,6923828125  ;2242,31320680697         ;                 9 ;418,9511    ;True              ;2760         ;127,2504         ;857,6623          ;37,39461             ;1703077
        14 ;3594,27587890625 ;2248,87340946794         ;                 9 ;373,3058    ;True              ;2760         ;95,31421         ;825,9316          ;55,49648             ;1657241
        15 ;3755,2880859375  ;2581,90099984296         ;                 9 ;373,3058    ;True              ;2760         ;93,97485         ;862,0107          ;31,66785             ;47119,45
        16 ;3735,71728515625 ;2428,25110569            ;                 8 ;387,0022    ;True              ;2760         ;91,30103         ;845,7749          ;20,3815              ;242826,6
        17 ;3750,58837890625 ;2442,74426140487         ;                 8 ;387,0022    ;True              ;2760         ;86,83936         ;859,632           ;32,25169             ;94116,91
        18 ;3736,2890625     ;2639,2376247406          ;                 8 ;387,0022    ;True              ;2760         ;103,5442         ;868,9279          ;29,49444             ;237108,2
        19 ;3752,56640625    ;2448,76220349297         ;                 9 ;451,8753    ;True              ;2760         ;125,7554         ;845,2507          ;12,46723             ;74336,14
        20 ;3710,34692382813 ;2617,2078125             ;                 8 ;387,0022    ;True              ;2760         ;91,05469         ;867,0295          ;41,24366             ;496530,7
        21 ;3747,60546875    ;2469,45881576538         ;                 8 ;365,8465    ;True              ;2760         ;80,07202         ;855,8088          ;29,4042              ;123944,8
        22 ;3732,60375976563 ;2302,63751734803         ;                 8 ;365,8465    ;True              ;2760         ;81,31226         ;870,8339          ;39,11429             ;273963,6
        23 ;3747,5029296875  ;2368,34492187658         ;                 8 ;365,8465    ;True              ;2760         ;89,57104         ;845,9725          ;31,27575             ;124971,8
        24 ;3750,2666015625  ;2848,22221451998         ;                 8 ;365,8465    ;True              ;2760         ;87,88623         ;859,0862          ;24,66807             ;97333,59
        25 ;3734,658203125   ;2614,20600156784         ;                 8 ;365,8465    ;True              ;2760         ;86,48438         ;854,4722          ;32,2821              ;253417,8
        26 ;3747,33349609375 ;2574,55246038982         ;                 8 ;372,4071    ;True              ;2760         ;101,2681         ;832,5468          ;37,8347              ;126664,8
        27 ;3748,31005859375 ;2573,02338283206         ;                 8 ;362,996     ;True              ;2760         ;85,76001         ;851,1077          ;29,20837             ;116899,3
        28 ;3698,50610351563 ;2085,75081450101         ;                 8 ;353,4362    ;True              ;2760         ;98,23486         ;807,2194          ;35,10638             ;614938,3
        29 ;3749,96337890625 ;2388,49857817013         ;                 8 ;383,6751    ;True              ;2760         ;98,79688         ;868,0145          ;20,07325             ;100367,1
        30 ;3740,01318359375 ;2514,27799353004         ;                 8 ;323,6538    ;True              ;2760         ;98,23633         ;852,0284          ;38,9497              ;199868,5
