Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;734,889038085938 ;166,362960866094         ;                10 ;312,9353    ;False             ;782,338      ;47,44892         ;224,2046          ;57,13894             ;14087
         2 ;1471,65270996094 ;652,220985496044         ;                10 ;358,4612    ;False             ;1550,059     ;78,40599         ;479,7629          ;28,66721             ;38043,16
         3 ;1804,01000976563 ;897,078363513947         ;                10 ;372,575     ;False             ;1873,252     ;69,24174         ;538,7125          ;5,309386             ;26752,36
         4 ;2656,15380859375 ;1243,00745493174         ;                10 ;370,8651    ;True              ;2760         ;103,8463         ;777,7772          ;31,2559              ;9546904
         5 ;2666,62963867188 ;1819,85189152956         ;                10 ;373,9658    ;True              ;2760         ;93,37036         ;817,0602          ;33,44624             ;8894574
         6 ;2672,06518554688 ;1945,5625793457          ;                10 ;373,3069    ;True              ;2760         ;87,93475         ;842,1028          ;18,54695             ;5165440
         7 ;2681,8515625     ;2029,73021612167         ;                10 ;373,9658    ;True              ;2760         ;78,14832         ;840,8767          ;42,84945             ;7932759
         8 ;2667,10424804688 ;2207,87130126953         ;                10 ;373,9658    ;True              ;2760         ;92,89575         ;830,2384          ;-5,821872            ;4557526
         9 ;2689,54345703125 ;2024,27988891602         ;                10 ;372,1952    ;True              ;2760         ;70,45654         ;777,9501          ;28,33393             ;3227484
        10 ;2671,83837890625 ;2034,38816674948         ;                10 ;378,6011    ;True              ;2760         ;88,1615          ;800,3224          ;5,364145             ;4568498
        11 ;2692,90283203125 ;2315,96286010742         ;                10 ;372,1952    ;True              ;2760         ;67,09729         ;847,329           ;44,23038             ;5922886
        12 ;2677,9892578125  ;2313,84360351563         ;                10 ;378,6011    ;True              ;2760         ;82,01074         ;817,2796          ;43,04351             ;4265072
        13 ;2676,2255859375  ;2076,87352575064         ;                10 ;345,654     ;True              ;2760         ;83,77429         ;813,6511          ;42,50992             ;1609838
        14 ;2676,4296875     ;2446,72837524414         ;                10 ;386,4763    ;True              ;2760         ;83,57043         ;774,4611          ;44,28273             ;4615541
        15 ;2685,7880859375  ;2447,62703857422         ;                10 ;386,4763    ;True              ;2760         ;74,21191         ;837,725           ;24,74497             ;4049043
        16 ;2682,35400390625 ;2169,42695939541         ;                10 ;367,4506    ;True              ;2760         ;77,646           ;733,6948          ;37,33287             ;1,059847E+07
        17 ;2688,5673828125  ;2483,9407409668          ;                10 ;367,4506    ;True              ;2760         ;71,43262         ;827,1718          ;21,23516             ;5896022
        18 ;2687,71801757813 ;2604,83069458008         ;                10 ;367,4506    ;True              ;2760         ;72,28198         ;823,8414          ;38,42039             ;5277069
        19 ;2692,88330078125 ;2413,59583129883         ;                10 ;373,4632    ;True              ;2760         ;67,1167          ;756,1382          ;50,67156             ;979528,1
        20 ;2693,99731445313 ;2273,58463408351         ;                10 ;367,4506    ;True              ;2760         ;66,00269         ;772,8165          ;32,3622              ;4346885
        21 ;2694,46655273438 ;2365,38478116989         ;                10 ;373,4632    ;True              ;2760         ;65,53345         ;823,937           ;50,22062             ;2,290338E+07
        22 ;2698,8193359375  ;2397,81285552979         ;                10 ;334,569     ;True              ;2760         ;61,18066         ;789,4941          ;53,44418             ;1,685287E+07
        23 ;2698,02661132813 ;2334,33613331914         ;                10 ;350,8927    ;True              ;2760         ;61,97339         ;787,9803          ;62,18471             ;1,3017E+07
        24 ;2698,30590820313 ;2368,77281198502         ;                10 ;334,569     ;True              ;2760         ;61,69409         ;791,16            ;48,05318             ;8740077
        25 ;2692,60424804688 ;2455,36991889477         ;                10 ;329,029     ;True              ;2760         ;67,39575         ;760,7345          ;44,87488             ;657514,9
        26 ;2697,92993164063 ;2634,37144775391         ;                10 ;312,3934    ;True              ;2760         ;62,07007         ;840,384           ;44,14358             ;9391502
        27 ;2697,14086914063 ;2603,8991027832          ;                10 ;329,7524    ;True              ;2760         ;62,85913         ;866,6443          ;40,99867             ;4565589
        28 ;2694,02294921875 ;2121,74934304953         ;                10 ;340,6557    ;True              ;2760         ;65,97705         ;834,5976          ;43,14246             ;1,032784E+07
        29 ;2695,6005859375  ;2225,93605418205         ;                10 ;318,1257    ;True              ;2760         ;64,39941         ;851,3743          ;39,14644             ;5281227
        30 ;2698,41650390625 ;2355,21357252598         ;                10 ;336,4563    ;True              ;2760         ;61,5835          ;778,067           ;62,7772              ;7742522
