Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2654,59008789063;381,977157855034;9;329,712;True;2760;105,4099;788,401;54,00645;6547386
2;2634,7060546875;1307,74303817749;9;329,712;True;2760;125,294;799,9883;30,44825;7676112
3;2662,11645507813;2101,19011230469;8;335,8163;True;2760;97,88361;842,3982;19,84284;9039230
4;2679,75537109375;2008,9706817627;9;336,6536;True;2760;80,24463;816,5579;21,14338;2103288
5;2677,85131835938;1821,32525160313;9;336,6536;True;2760;82,14862;801,8209;57,40236;2156761
6;2681,73486328125;2299,4565926075;9;336,6536;True;2760;78,26526;831,4948;31,66167;3038704
7;2688,14428710938;2297,09296875;10;340,8452;True;2760;71,85571;838,9739;34,14545;437233,2
8;2686,5810546875;2178,68040161133;9;318,736;True;2760;73,41882;778,2846;27,11886;4678117
9;2683,20361328125;2378,56781616211;10;339,1479;True;2760;76,79626;819,399;45,54575;9044119
10;2683,44189453125;2248,22519071102;10;339,1479;True;2760;76,55811;819,1956;36,89006;6245712
11;2692,83984375;2200,82465515137;8;334,5835;True;2760;67,16016;847,5836;33,26887;4896915
12;2688,9033203125;1972,03611989021;8;359,9536;True;2760;71,09656;829,1481;41,42107;1,012689E+07
13;2690,72705078125;2095,12681459188;10;339,1479;True;2760;69,27295;823,0417;33,01174;1,14121E+07
14;2690,3642578125;2315,98305053711;8;333,7061;True;2760;69,63574;862,3917;33,4856;1,331819E+07
15;2688,96923828125;2546,23544921875;8;334,5835;True;2760;71,03088;880,1664;31,69503;3051264
16;2689,30224609375;2135,24973468781;8;333,7061;True;2760;70,69788;860,3655;34,52633;3396266
17;2692,90478515625;2423,54353637695;8;333,7061;True;2760;67,09521;847,0604;34,37491;9394482
18;2689,25805664063;2294,79470134974;7;329,6598;True;2760;70,74194;804,606;35,6474;4161536
19;2693,14477539063;2266,03530273437;7;329,6598;True;2760;66,85522;864,6257;29,33733;5161187
20;2686,51220703125;2341,3206237793;7;331,9098;True;2760;73,48779;843,1342;39,43483;1,281207E+07
21;2689,99365234375;2494,72532348633;7;331,9098;True;2760;70,00635;847,4098;41,69444;1,08626E+07
22;2686,599609375;2501,78275146484;7;341,2547;True;2760;73,40039;849,7581;35,75082;6738329
23;2697,42309570313;2226,44337880909;7;341,2547;True;2760;62,5769;855,2534;44,77026;7549999
24;2691,8603515625;2355,96647949219;7;331,9098;True;2760;68,13965;834,2446;42,3939;8956431
25;2691,93139648438;2394,91706771851;7;325,2169;True;2760;68,0686;780,7165;46,76942;1272784
26;2690,6865234375;2368,4366027832;7;317,0211;True;2760;69,31348;830,6682;27,01319;4745297
27;2694,03002929688;2411,11910400391;7;339,9103;True;2760;65,96997;866,5083;42,66408;2545796
28;2695,69018554688;2463,18554263115;7;325,8737;True;2760;64,30981;844,8627;49,67233;4038591
29;2694,17065429688;2360,00780951977;7;328,1527;True;2760;65,82935;818,7758;51,79329;9636982
30;2694,73559570313;2379,40058312416;7;328,1527;True;2760;65,2644;840,5142;53,98184;593432,1
