Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;888,761047363281;170,684309675172;10;356,6662;False;1685,148;76,98535;538,8553;-54,55595;99206,61
2;1553,65173339844;359,096684853174;10;356,6662;True;2760;133,9275;870,4448;109,9001;5104265
3;1556,43725585938;578,655627137423;10;356,6662;True;2760;109,0476;873,4206;82,62019;6466736
4;1552,61193847656;686,6889226228;10;325,2335;True;2760;151,486;877,6058;125,001;3096076
5;1555,82592773438;805,408603359759;10;348,8498;True;2760;104,2913;862,5511;72,40527;5905574
6;1557,36547851563;840,892939937115;10;379,9989;True;2760;96,31531;869,9705;117,8434;4149566
7;1558,77819824219;805,091946636885;10;363,0512;True;2760;92,28906;880,0708;132,4268;811821,3
8;1558,44384765625;1099,88312667087;10;348,8498;True;2760;82,41583;866,8545;91,38069;9094489
9;1557,09265136719;1286,20824584961;10;409,5348;True;2760;76,26013;847,1867;120,2348;5352567
10;1557,02844238281;1254,31501407623;10;409,5348;True;2760;76,67334;846,9573;114,2221;6183611
11;1558,0771484375;1191,19218418598;10;406,9899;True;2760;78,57031;859,342;99,30085;8923167
12;1557,04040527344;1235,95098876953;10;409,5348;True;2760;84,89404;855,2982;115,8657;4396253
13;1558,45227050781;1163,30327965412;10;409,5348;True;2760;81,02368;865,5467;136,9093;1821841
14;1558,13195800781;1307,95545924269;10;386,3213;True;2760;86,65747;867,9769;130,744;9993169
15;1559,02673339844;1254,57767534256;10;386,3213;True;2760;74,56091;864,8282;132,7898;2007729
16;1557,67858886719;1311,19040222168;10;424,8669;True;2760;93,19263;869,9791;107,7957;1,168866E+07
17;1558,86437988281;1324,42082214355;10;409,5348;True;2760;77,79883;866,4429;126,8535;1,284367E+07
18;1559,76452636719;1199,46296647787;10;411,9205;True;2760;71,49902;869,1448;95,28855;243377,5
19;1556,20080566406;1172,01156616211;10;411,9205;True;2760;92,05444;854,0624;148,1913;3339777
20;1559,04516601563;1321,73419189453;10;412,3405;True;2760;71,79492;862,2469;115,4447;2612643
21;1558,59558105469;1258,63392944336;10;412,3405;True;2760;82,55933;868,5157;108,7193;285230,6
22;1558,59521484375;1033,24525428247;10;412,3405;True;2760;72,66797;858,6202;92,30063;2971143
23;1557,51708984375;1328,43466186523;10;412,3405;True;2760;82,06445;857,2355;158,2945;1258369
24;1558,31555175781;1347,09328308105;9;405,0316;True;2760;75,29858;858,4542;93,92891;140394,5
25;1556,4560546875;1158,49023742676;10;410,3347;True;2760;74,28516;838,846;82,75338;679377,3
26;1557,86120605469;1325,74500732422;10;412,3405;True;2760;76,31372;854,926;107,8494;4071363
27;1557,22045898438;1412,52630310059;10;416,0436;True;2760;87,56421;859,7684;134,3804;1,09444E+07
28;1558,69714355469;1326,43207712173;10;412,3405;True;2760;75,20093;862,1725;95,81965;2819614
29;1558,73278808594;1343,76936110854;10;412,3405;True;2760;75,15649;862,4842;124,8896;6886685
30;1558,11120605469;1310,67228393555;10;411,5236;True;2760;78,16919;859,2809;114,4888;8517975
